WNAM,SCHN
"Pons Iranzo, Elisabet (or Elisabeta)",Barcelona
"Portella Estrada, Pilar",Barcelona
"Pozas, Magdalena",Saragossa
"Prat Torres, Concepció (or Concepción, or Conxa)",Barcelona
"Prats de Presas, Maria dels Dolors (or María de los  Dolores)",Barcelona
"Prats Juani, Rosa",Barcelona
"Prats Petit, Teresa",Barcelona
"Puente, Concha de la",Madrid
"Puig Cisa, Teresa",Barcelona
"Puig de Marqués, Rosa",Barcelona
"Puiggarí de Ulsamer, Julia",Barcelona
"Puiggener y Sánchez, María Luisa",Cádiz
"Puiggener, Lluïsa (or Luisa)",Barcelona
"Pujolar, Concepció",Catalonia
"Pulgar, Aurora",Granada
"Puñonrostro, Rosalía",Madrid
"Puxan Carreras, Teresa",Gerona
"Querol Masats, Elisa de",Barcelona
"Quesada, María de la Concepción",Seville
"Rafael Sánchez, María",Granada
"Ramírez de Arellano, Adelaida (or Adela)",Madrid
"Ramírez de Villaurrutia, Guadalupe",Madrid
"Revenga, María",
"Revilla, Teodora",Santander
"Riera, María",Balearic Islands
"Riera, Maria",Barcelona
"Risueño Rodrigo, Anna (or Agna)",Barcelona
"Riu Sanuy, Francisca",Barcelona
"Rius Sanny, Francisca",Barcelona
"Riva de Muñoz, María Luisa de la",Saragossa
"Riva, Irene de la",Madrid
"Roca, Dolors (or Dolores)",Catalonia
"Rocafull, Enriqueta",Cádiz
"Rodero y Gregory, Francisca",Madrid
"Rodrigo y Medina, María Luisa",Valencia
"Rodríguez de Rivera y Apezteguía, María",Madrid
"Rodríguez de Toro, Luisa",Madrid
"Rodríguez, Dolores",Santiago de Compostela
"Rodríguez, Elvira",Madrid
"Rodríguez, María",Cádiz
"Roldán, Luisa",Andalusia
"Romero de Robles Paro, Encarnación",Granada
"Romero Larrañaga, Esperanza",Madrid
"Romero, Esperanza",Madrid
"Rosales Martínez de Pedrosa, Carlota",Madrid
"Rosselló Estela, Maria",Catalonia
"Rostán, Adriana",
"Ruiz Martínez, Rosa",
"Sacharoff, Olga",Barcelona
"Salzillo y Alcaraz, Inés",Murcia
"Sánchez-Gavito y Perdomo, María Teresa",Madrid
"Sans Jordi, Margarida (or Margarita)",Barcelona
"Santos Torroella, Angeles",Catalonia
"Serraviñals Furió, Josefa (or Josepa)",Barcelona
"Solanes, María Cinta",
"Taylor, María A.",Seville
"Teixidor Torres, Josefa (or Josepa)",Barcelona
"Torné Pujol, Trinitat (or Trinidad, or Trinidat)",Barcelona
"Ubach de Osés, Visitació (or Visitación)",Barcelona
"Ugarte y Marraco, Josefa",Saragossa
"Umbert, Micaela",Balearic Islands
"Urrutia y Garchitorena, Ana Gertrudis de",Cádiz
"Vela Murillo, Consuelo",Málaga
"Velarde, Condesa de",Madrid
"Velasco Belausteguigoitia, Rosario",
"Vidal Nolla, Teresa",Catalonia
"Vidal Puig, Lluïsa (or Luisa)",Barcelona
"Vidiella Galindo, Ramona",Barcelona
"Villanueva y Ruiz, Juana",Madrid
"Villarroya, Emilia",Aragon
"Vives, Carmen",
"Weiss, María del Rosario",Madrid
"Yáñez de Santa Cruz, Marta",Madrid
"Yoli Alvarez, Adela",Asturias
"Abadía the Younger, Juan de la",Aragon
"Abadía, Juan de la",Aragon
"Abadías de Santolarios, León",Aragon; Madrid
