WNAM,SCHN
"Antolín, Antonio",[n.r.]
"Antolínez, Francisco",Seville; Madrid
"Antolínez, José (or Josef)",Madrid
"Antón Puig, Vicente (or Vicenç, or Vicent)",Valencia; Barcelona
"Antona, Nicolás de",Valencia
"Antonio Martínez, Pedro",Almería; Madrid
"Antonio, Cristóbal de",Barcelona
"Antonio, Matías",[n.r.]
"Aparici Solanich, Antonio (or Antoni)",Valencia; Madrid; Barcelona
"Aparici y Soriano, Federico",Valencia; Madrid
"Aparicio, José",Valencia; Madrid
"Aparicio, Lorenzo",Madrid
"Apellániz López, Jesús",Basque Country; Madrid
"Apellániz Saez de Ybarra, Andrés",Basque Country
"Aponte, Pedro de",Aragon
"Aquiles, Julio",Valladolid; Grenada
"Aquilín, Antonio de",Ubeda
"Aragay Blanchart, Josep (or José)",Barcelona; Gerona
"Aragó Cabañas, Lluís Maria",Catalonia
"Aragón, Juan de",Granada
"Aragonese School, Anonymous Painters of",
"Aragonese School, Anonymous Sculptors of",
"Aranda Salazar, Juan de",Andalusia
"Aranda y Delgado, Francisco",
"Aranda, Diego de",Granada
"Aranda, Fray Leandro",[n.r.]
"Arandia, Juan de",Castille
"Arango, José María",Seville
"Aranoa y Carredano, Juan de",Basque Country
"Araoz the Elder, Andrés de",Basque Country
"Araoz the Younger, Andrés de",Basque Country
"Aras, Bernardo de",Aragon
"Arasa, Ferran (or Fernando)",Catalonia
"Araujo Ruano, Joaquín",Castile-La Mancha
"Araujo y Sánchez, Ceferino",Madrid
"Arbiol, Vicente",Madrid; Saragossa; Asturias
"Arbós y Ayerbe, Manuel",Madrid
"Arbulo Marguvete, Pedro",La Rioja
"Arcas Pons, Miguel",Balearic Islands
"Arcayna, Pere (or Pedro)",Catalonia
"Arce, Baltasar de",Granada
"Arce, José (or Josef) de",Seville
"Arco, Alonso del",Madrid
"Ardanaz, Pío",Cantabria
"Ardanuy Fernández, Josep Jordi",Barcelona; Saragossa; Balearic Islands
"Ardemans, Teodoro",Madrid; Granada
"Ardit, Simón (or Simó)",Valencia; Barcelona
"Arellano, José de",Madrid
"Arellano, Juan de",Madrid
"Arenas, Hernando de",Castile-La Mancha
"Arenys Galdón, Ricard (or Ricardo)",Barcelona
"Arévalo, Juan de",Castile-La Mancha; Castile-Leon
"Arfe the Elder, Antonio de",Madrid; Castile-Leon; Santiago de Compostela
"Arfe the Younger, Antonio de",Valladolid
"Arfe the Elder, Enrique de",
"Arfe the Younger, Enrique de",Valladolid
"Arfe, Juan de",Castile-Leon
"Arfián, Alonso",Seville
"Arfián, Antonio de",Seville
"Argelés Escriche, Rafael",Cádiz; Madrid
"Argensola, Francisco Leonardo de",Navarre
"Argimón Granell, Daniel",Barcelona
"Argüelles, Julio",Galicia; Madrid
"Argüello, Miguel Angel",[n.r.]
Arias,Castile-Leon
"Arias Alvarez, Francisco",Madrid
"Arias Blanco, Salvador",Barcelona
"Arias, Antonio",Madrid
"Arias, Ignacio",Madrid
"Ariet Olives, José (or Josep)",Barcelona
"Arija, José",Madrid
"Ariño de Garay, Norberto",Basque Country
"Ariño, Pedro",[n.r.]
"Ariosto, Felipe (or Filippo)",Barcelona
"Arismendi, Felipe",Basque Country
"Arismendi, Juan de",Guipúzcoa
"Aristizábal, Manuel",Madrid
"Armendía, Pedro de",Aragon; Seville
"Armengol Gall, Emili (or Emilio)",Catalonia
"Armengol, Rafael",Valencia
"Armengot Colás, Vicente (or Vicent)",Barcelona
Armentario,Toledo
"Armet Portanell, José (or Josep)",Catalonia
"Arnaiz, Doroteo",Madrid
"Arnal y Rojas, José",Valencia
"Arnal, Juan Pedro",
"Arnaldín, Benito",Aragon
Arnaldo,Catalonia
Arnao de Flandes [the Younger],Seville
Arnao de Flandes the Elder,Seville
"Arnau Mascort, Eusebio (or Eusebi)",Barcelona
"Arnau Miramón, Joaquín (or Joaquim) María",Valencia
"Arnau, Guillem (or Guillen, or Guillermo)",Balearic Islands; Valencia; Aragon
"Arnau [the Elder], Juan (or Joan)",Barcelona
"Arnau [the Younger], Juan (or Joan)",Barcelona
"Arnau, Ramón",Madrid
"Arnaudies, Francesc",Barcelona
"Arnaudies, Francisco (or Francesc)",Catalonia
"Aróstegui Barbier, Juan de",Basque Country
"Arpa Perea, José",Seville
"Arragel, (Rabbi) Moses",Toledo
"Arranz, Lorenzo",
"Arrau y Barba, José (or Josep)",Barcelona
"Arredondo y Calmache, Ricardo",Madrid; Toledo
"Arredondo, García de",Santander; Castile
"Arredondo, Isidoro",Madrid
"Arregui, Carlos",Madrid
"Arriba, Eugenio de",[n.r.]
"Arrieta, Simón",Guipúzcoa; Madrid
"Arronte, Aureliano",[n.r.]
"Arroyo Fernández, Rafael",Granada; Madrid
"Arroyo y Lorenzo, Manuel",Murcia; Madrid
"Arroyo, Diego de",Toledo; Madrid
"Arroyo, Eduardo",Madrid; Barcelona
"Arrúe Valle, Alberto",Bilbao
"Arrúe Valle, José",Bilbao
"Arrúe Valle, Ramiro",Bilbao
"Arrúe Valle, Ricardo",Bilbao
"Arruti y González Pola, Eugenio",San Sebastián
"Artá, Antonio de",Valladolid; Palencia
"Arteaga y Alfaro, Matías",Seville
"Arteaga, Diego de",Navarre
"Arteta y Errasti, Aurelio",Bilbao; Madrid
"Artiga, Francisco (or Francesc)",Huesca
"Artigas Basté, Josep (or José)",Barcelona
"Artigau, Francesc (or Francisco)",Barcelona
"Artís Gener, Avelí (or Avel.lí, or Avelino, or Avellí)",Barcelona
"Artís Tomás, Andreu Avelí (or Andreu Avelli)",Barcelona
"Arvei, Pere",Barcelona
"Asenjo Arozarena, Salustiano (or Sallustià, or Salustià)",Valencia
"Asensio Mariné, Joaquim (or Joaquín)",Barcelona
"Asensio Rovira, Teo (or Teodor, or Teodoro)",Barcelona
"Asensio y Mejorada, Francisco",Madrid
"Asorey, Francisco",Galicia
"Asterain, Diego de",Pamplona
"Astor, Diego de",Toledo
Astorga,[n.r.]
"Astorga Cubero, Juan de",Seville
"Astorga, Juan de",Valladolid
"Astoy, Gustave",Basque Country
"Asturias, School of, Anonymous Painters of",
"Asturias, School of, Anonymous Sculptors of",
"Atalaya González, Enrique",Murcia; Madrid
"Atché, Rafael",Barcelona
"Atenza, Ramón",Murcia
"Augusto, Alfredo",Valencia?
"Aulèstia, Salvador",Barcelona; Madrid
"Avalos, Juan",Madrid
"Avendaño Fernández, Donato",Santander; Madrid
"Avendaño, Serafín (or Serafino)",Vigo; Madrid
"Avendaño, Teodomiro",Vigo
"Aventín Llanas, José María",Huesca; Barcelona
"Avila, Hernando de",Toledo
"Avila, Juan de",Valladolid
"Avila, Lorenzo de",Castile-Leon
"Avila, Manuel de",Valladolid
"Avila, Pedro de",Madrid [?]; Seville
"Avila, School of, Anonymous Painters of",
"Avila, School of, Anonymous Sculptors of",
"Avrial y Flores, José María",Castile; Andalusia
"Ayala, Bernabé",Seville
"Ayala, Francisco de",Murcia
"Azcutia, Cosme de",Valladolid; León
"Aznar y García, Francisco",Saragossa; Madrid
"Bacarisas, Gustavo",Seville
"Bacle, Bernardo",
"Badajoz the Elder, Juan de",Galicia; Seville; Castile-Leon
"Badajoz the Younger, Juan de",Castile-Leon
"Badía Plasencia, Francisco",Valencia
"Badía Vidiella, Pere (or Pedro)",Barcelona
"Badrinas Escudé, Antonio (or Antoni)",Catalonia
"Baeza Gómez, Manuel",Alicante
"Baeza y Carrillo, Marcos",Canary Islands; Madrid
"Baeza, Francisco de",Sigüenza
"Baeza, Gaspar de",Castile-Leon
"Bagés Jané, Josep",Catalonia
"Bahamontes, José",Madrid
"Baixas Carreté, Juan (or Joan)",Barcelona
"Baixeras Verdaguer, Dionís (or Dionisio)",Barcelona
"Bal, Josep",Barcelona
"Balaca y Canseco, Eduardo",Madrid
"Balaca y Canseco, Ricardo",Madrid
"Balaca y Carrión, José",Madrid
"Balaguer, Juan Bautista",Valencia
"Balasanz Sánchez, Victorino",Aragon
"Balasch Mateu, Mateo (or Mateu)",Barcelona
"Balcells Balcells, Josep (or José)",Catalonia
"Balcells, Dalmau",Tarragona
"Balduque, Roque de",Seville
"Ballester Ayguals de Izco, Juan (or Joan)",Barcelona
"Ballester Ballester, Joaquín (or Joaquim)",Valencia; Madrid
"Ballester Besalduch, Agustín (or Agustí)",Barcelona
"Ballús Burguete, Josep (or José)",Barcelona
"Balsa de la Vega, Rafael (or Rafel)",Galicia
Baltario,Castile-Leon
"Banchs Burch, Joan (or Juan)",Barcelona
"Banda y Pineda, Eduardo",Castile-Leon
"Bañuls Aracil, Vicente",Alicante
"Baqué Mercader, Isidro",Barcelona
"Baqué Mercader, José",Barcelona
"Baquero, Mariano",Madrid
"Bara, Agustín",Valladolid
"Barahona, José",Castile-La Mancha
"Barahona, Sebastián de",Seville
"Barba, Ramón",Madrid
"Bárbara y Balza, Joaquín",Madrid
"Barbasán Lagueruela, Mariano",Saragossa
"Barbeta Antonés, Joan (or Juan)",Barcelona
"Barceló Albadalejo, José",Murcia; Bilbao
"Barceló Oliver, Pedro J.",Balearic Islands
"Barceló, Joan (or Juan)",Barcelona
"Barcelona Simón, Luis",Saragossa
"Barcelona, School of, Anonymous Painters of",
"Barcelona, School of, Anonymous Sculptors of",
"Barcia y Pavón, Angel",Córdoba; Madrid
"Barciela, José",Galicia
"Barco, Alonso del",Madrid
"Barco, García del",Avila
"Bardasano Baos, José",Madrid
"Barea, Gumersindo",
"Bargués Asensio, Rafael",Barcelona
"Bargués, Arnau",Barcelona; Gerona
"Barjola, Juan",Badajoz
"Barnadas Fábregas, Ramón",Catalonia
"Baró, Bartolomé (or Bartomeu, or Bertomeu)",Valencia
"Baroja Nessi, Ricardo",Huelva; Navarre; Madrid
"Barragán Montemayor, Pedro",Tarragona
"Barral López, Emiliano",Segovia; Madrid
"Barrau Buñol, Laureano (or Laureà)",Barcelona; Balearic Islands
"Barray, Antonio (or Antoni)",Barcelona
"Barrenechea Tubilla, José (or Josep)",Barcelona
"Barrera Díaz, Julio",Madrid
"Barrera Martín, Roberto",Canary Islands; Barcelona
"Barrera, Francisco",Madrid
"Barrillón Paradell, Josep",Barcelona
"Barrios, Manuel",Córdoba
"Barroeta y Anguisolea, Juan de",Bilbao; Madrid
"Barrón González, Eduardo",Madrid
"Barrón y Carrillo, Manuel",Seville
"Barroso, Miguel",Toledo; Madrid
"Barrueta Asteínza, Benito",Biscay
"Barruso, Epifanio",Logroño
"Barrutia, Lorenzo",[n.r.]
"Bartolí, Josep (or Joseph)",Barcelona
Bartolomé,Burgos
"Bartolozzi, Salvador",Madrid
"Bas Gelabert, Ramón",Barcelona
"Bas, (Mosén) Pedro",Valencia
"Bascardo, Juan",Navarre
"Basiano Martínez, Jesús",Navarre; Madrid
"Bassa, Arnau (or Arnaldo)",Catalonia
"Bassa, Ferrer (or Ferrarius)",Catalonia
"Bassegoda Amigó, Joaquín (or Joaquim)",Barcelona
"Bassó Vila, Jacinto (or Jacint)",Barcelona
"Bastardes Parera, Rafael",Barcelona
"Basterra y Berastegui, Higinio",Bilbao
"Basterretxea Arzadun, Néstor",Biscay
"Bastida y Fernández Espino, José de la",Seville
"Bataller Giralt, Rafael",Catalonia
"Batiztutzzi, Aquiles (or Achile)",Barcelona
"Batlle Ametlló, Esteve (or Esteban)",Barcelona
"Batlle Mir, Jaume (or Jaime)",Barcelona
"Baudet Oliver, Mario",Canary Islands
"Bausá, Gregorio",Balearic Islands; Valencia
"Bautista, Juan",Toledo
"Bautista, Juan",Seville
"Bauzá Mas, Juan (or Joan)",Palma de Mallorca
"Bauzil, Juan (or Jean)",Madrid
"Bayarri Ferricol, Arturo",Valencia
"Bayeu y Subías, Francisco",Saragossa; Madrid
"Bayeu y Subías, (Fray) Manuel",Saragossa; Balearic Islands
"Bayeu y Subías, Ramón",Saragossa; Madrid
"Bayo Bergalí, Antonio",Saragossa; Barcelona
"Bayuco, Juan Bautista",Valencia
"Bea Pelayo, Luis",Madrid
"Bea Pons, Isidor (or Isidoro)",Catalonia
"Bea, Manuel (or Manolo)",Barcelona
Beato de Liébana,Asturias
"Beatriz de Borbón y Battenberg, (Infanta de España), [S.A.R.] Doña",
"Beaugrant, Guiot (or Guyot) de",Biscay
"Beautell Meléndez, Ernesto",Canary Islands
"Beauvés, Fray Juan de",Navarre
"Becerra, Antón",Andalusia
"Becerra, Francisco",Cáceres
"Becerra, Gaspar",Andalusia; Valladolid; Madrid
"Bécquer Domínguez, Carlos (or Carles)",Barcelona
Bedoyere,[n.r.]
"Béjar Novella, Pablo Antonio",Barcelona
Belasco,La Rioja
"Belcove, Enrique",León
"Belda Ibáñez, Joaquín María",Valencia
"Belli, Benito (or Benet)",Barcelona
"Bellmunt Trafach, Antoni (or Antonio)",Barcelona
"Bellmunt Trafach, Jaume (or Jaime)",Barcelona
"Bello Piñeiro, Felipe",Galicia
"Bello, Pedro",Castile-Leon; Barcelona
"Belluga, Vidal",Valencia
"Bellver [y Collazos], Mariano (or Marian)",Madrid
"Bellver e Iñigo, Mariano",Madrid
"Bellver Ferriol, Manuel",Barcelona
"Bellver y Collazos, Francisco",Valencia; Madrid
"Bellver y Collazos, José",Avila; Madrid
"Bellver y Llop, Francisco",Valencia; Madrid
"Bellver y Llop, Pedro",Valencia
"Bellver y Ramón, Ricardo",Madrid
"Belmonte y Vacas, Mariano",Andalusia; Valencia
"Beltrán Grimal, Vicente",Valencia
"Beltrán Massés, Federico (or Frederic)",Barcelona
"Beltrán, (Fray) Domingo",Castile-Leon; Madrid
"Beltrán, Juan Bautista",Valladolid
"Benavent Calatayud, José",Valencia
"Benavent Rocamora, Gaietà (or Cayetano)",Catalonia
"Benavent Santandreu, Joan (or Juan)",Barcelona
"Benavides, Alfonso",[n.r.]
"Benavides, Vicente (or Vincente) de",Madrid
"Benedicto García, Manuel",Barcelona
"Benedito Vives, Luis",Valencia; Madrid
"Benedito Vives, Manuel",Valencia; Madrid
"Benet Espuny, José",Catalonia
"Benet Vancells, Rafael",Barcelona
"Bengoa, Francisco",Basque Country
"Bengoechea, Ambrosio de",Basque Country; Navarre
"Benjumea, Rafael",Seville
"Benlliure Ortiz, José (or Josep)",Valencia
"Benlliure y Gil, Blas",Valencia; Madrid
"Benlliure y Gil, José (or Josep)",Valencia; Madrid
"Benlliure y Gil, Juan Antonio (or Joan Antoni)",Valencia; Madrid
"Benlliure y Gil, Mariano (or Marià)",Valencia; Madrid
"Benlloch Casares, Julio",Valencia
"Bennàssar, Dionís",Balearic Islands
"Beobide, Julio",Basque Country
"Berdejo Elipe, Luis",Teruel; Barcelona
"Berdusán, Vicente",Aragon; Navarre
"Berga Boix, Josep (or José)",Gerona
"Berga, Nicolau (or Nicolaus) de",Catalonia
"Bergé Larrosa, Josep (or José)",Barcelona
"Bergnes Soler, Guillem",Barcelona
"Bermejo Sobera, José",Madrid
"Bermejo, Bartolomé",Valencia; Aragon; Catalonia
"Bermejo, Enrique",Madrid
"Bermúdez Gil, Federico",Málaga
"Bermudo Mateos, José",Estremadura
"Bernardo, Ricardo",Cantabria; Madrid
Bernardus,Catalonia
"Bernat [the Elder], Martín",Aragon
"Bernat [the Younger], Martín",Aragon
"Bérriz, Domingo de",Castile-Leon
"Berrocal, Miguel (or Michel)",Málaga
"Berrueta, Juan de",Aragon
"Berruguete, Alonso",Castile-León; Castile-La Mancha
"Berruguete, Inocencio",Valladolid
"Berruguete, Pedro",Castile-León; Castile-La Mancha
"Bertodano, Luis",Madrid; Basque Country
"Bertuchi Nieto, Mariano",Andalusia
"Beruete y Moret, Aureliano de",
"Beulas Recasens, Josep (or José)",Barcelona; Aragon
"Beut Lluch, Luis",Valencia
"Bianqui Sánchez, Octavio",Madrid; Barcelona
"Bienabe Artía, Bernardino",Guipúzcoa; Navarre
"Bilbao Martínez, Gonzalo",Seville; Madrid
"Bilbao Martínez, Joaquín",Seville
"Biosca Biosca, Josep (or José)",Catalonia
"Biosca Vila, Joaquim (or Joaquín)",Barcelona
"Bisquert, Antonio",Valencia; Teruel
"Blanch Pla, Xavier (or Javier)",Barcelona
"Blanco Castro, Aurelio",Burgos
"Blanco Coris, José",Málaga
"Blanco Martín, Venancio",Salamanca; Madrid
"Blanco Merino, Rafael",Málaga
"Blanco Pérez, Bernardo",Madrid
"Blanco, Carlos",Cádiz; Madrid
"Blanco, Virgilio (or Virxilio)",Galicia
Blasco,Burgos
"Blasco Brugueras, Valentí (or Valentín)",Barcelona
"Blasco Ferrer, Eleuterio",Teruel; Barcelona
"Blasco Pastor, Arcadio (or Arcadi)",Alicante
"Blasco Soler, Teodoro",Valencia
"Blasco, Esteban",Madrid
"Blasco, Eulogio",Cáceres; Madrid
"Blasco, J.",Barcelona
"Blasco, Matías (or Mattia)",Valladolid
"Blay Fábregas, Miguel (or Miquel)",Catalonia; Madrid
"Blay, Pedro (or Pere)",Tarragona
"Blesa y Prats, Luis (or Lluís)",Valencia
"Boada Matas, Casimiro (or Casimir)",Barcelona
"Boada Mercader, Pablo (or Pau)",Barcelona
"Bobadilla, Jerónimo de",Seville
"Bocanegra, Pedro Atanasio",Andalusia; Madrid
"Bofill, Antoine",Catalonia
"Boigas Aguilar, Francisco",Málaga
"Boix Soler, Tomàs",Catalonia
"Boix, Esther (or Ester)",Barcelona
"Boix-Vives, Anselmo (or Anselme)",
"Bolduque, Juan Mateo de",Castile-Leon
"Bolduque, Pedro de",Castile-Leon
"Bonafé, Matías (or Mathías)",Catalonia
"Bonavera, Juan",[n.r.]
"Bonay, Francisco",Valencia; Madrid
"Bonet Serrat, Laureano (or Laureà)",Barcelona
"Bonet Sintes, Román (or Romà)",Barcelona
"Bonet y Cubero, Juan Bautista",Valencia
"Bonifás Massó, Francesc (or Francisco)",Catalonia
"Bonifás Massó, Lluís (or Luis)",Catalonia
"Bonilla, José María",Valencia
"Bonnín Guerín, Francisco",Santa Cruz de Tenerife; Catalonia
"Bonnín i Martí, Lluís (or Luis)",Barcelona
"Bonnin Miranda, Francisco",Santa Cruz de Tenerife; Catalonia
"Bonora, Juan",Valencia
"Bonora, Pedro",Valencia
"Bonora, Pedro",Valencia
"Bonull, Pere (or Pedro) de",Catalonia
"Borbera, Juan",Barcelona
"Bores, Francisco",Madrid
"Borgoña the Younger, Juan de",Castile
"Borgoña, Juan de",Castile
"Borja y Zayas, Antonio",Asturias
"Borja, Antonio",Valencia
"Borja, Juan Bautista",Valencia
"Borrás Casanova, Joan (or Juan)",Valencia; Madrid
"Borrás Solana, José",Catalonia
"Borrás y Abella, Gabriel",Valencia; Madrid
"Borrás y Abella, Vicente (or Vicenç, or Vicent)",Valencia; Barcelona
"Borrás y Mompó, Vicente (or Vicenç, or Vincente)",Valencia; Barcelona
"Borrás, (Fray, or Mosén) Nicolás",Valencia
"Borrassà, Honorat (or Honorato)",Catalonia
"Borrassà, Lluc (or Lluch, or Lucas)",Catalonia; Balearic Islands
"Borrassà, Lluís (or Luis, or Luys)",Gerona; Barcelona
"Borrell del Caso, Pere (or Pedro)",Catalonia
"Borrell Nicolau, Joan (or Juan)",Catalonia
"Borrell Pla, Juli (or Julio)",Barcelona
"Borrell Pla, Ramon",Catalonia
"Borrell Vidal, Félix (or Feliu)",Madrid
"Bosch Bierge, Eusebi (or Eusebio)",Barcelona
"Bosch Canals, Andreu (or Andrés)",Barcelona
"Bosch Puigvert, Ramón",Barcelona
"Bosch Roger, Emili (or Emilio)",Barcelona
"Bosch Sanans, Germà (or Germán)",Catalonia
"Bosch Tubau, Florencì (or Florencio)",Barcelona
"Botí, Rafael",Andalusia; Madrid
"Bou Alvaro, Cristóbal",Valencia; Barcelona; Madrid
"Bover y Mas, José (or Josep)",Catalonia
"Bover, Francisco (or Francesc)",Catalonia
"Bovi, Francisco",Valencia
"Boyra, Juan",Valencia
"Bracho Murillo, José María",Andalusia
"Brambila, Fernando",
"Bráñez, Enrique",Madrid
"Brel, José",Valencia
"Bricio Delgado, Félix",Cuenca; Madrid
"Bringas y Bringas, Francisco de Paula",Bilbao
"Brinkmann, Enrique",Málaga
"Briones, Fernando",Seville
"Brito, Manuel",
"Brochetón Muguruza, Luis",Basque Country
"Brocos, Isidoro",Galicia
"Brocos, Modesto",Galicia
"Brotat, Joan (or Juan)",Barcelona
"Bru Pérez, Francisco",Valencia
"Bru Pérez, Manuel",Valencia
"Bru, Ayne (or Aine, or Ayna)",Gerona; Barcelona
"Brugada Vila, Antonio de",Madrid
"Brugada y Panizo, Ricardo (or Ricard)",Barcelona; Andalusia
"Brugarolas Serrador, Antoni (or Antonio)",Catalonia
"Brull Vinyoles, Joan (or Juan)",Barcelona
Brunet,
"Brunet Torroll, Llorenç (or Lorenzo)",Barcelona
"Bruno, José",Barcelona
"Bruselas, Arnao de (or Arnal, or Arnau) ",
"Bruselas, Giralte de",
"Bruselas, Juan de",Toledo; Barcelona
"Bruselas, Juan de",Saragossa; Barcelona
"Buades y Frau, Agustín",Balearic Islands
"Buch, Ramón",Galicia
"Buendía y Beltrán, Pablo",Galicia
"Bueno Gimeno, José",Saragossa; Madrid
"Bueno Villarejo, Pedro",Andalusia; Madrid
"Bueno, José",Madrid
"Bueno, Xavier (or Javier)",
"Buera, Pedro",Valencia
"Bueras, Simón de",Burgos
"Buforn Aragonés, Andrés",Valencia
"Buj, Benjamín",[n.r.]
"Burgos Mantilla, Francisco de",Madrid
"Burgos Oms, Antonio de",Málaga
"Burgos, Esteban (or Esteve) de",Catalonia
"Burgos, School of, Anonymous Painters of",
"Burgos, School of, Anonymous Sculptors of",
"Burgunya [the Younger], Joan de",Barcelona
"Burgunya, Joan (or Juan) de",Barcelona; Valencia
"Buró, Carlos",Barcelona
"Burriel Marín, Félix",Aragon
"Bushell Laussat, Francisco",Alicante
"Busom Grau, Simó (or Simón)",Barcelona
"Bussy, (Fray) Nicolás de",Valencia
"Bustamante, Juan de",Navarre
"Bustamente, Juan de",Andalusia
"Buxó, Esteban",Barcelona
"Caba Casamitjana, Antoni (or Antonio)",Barcelona; Madrid
"Caballe, Antonio",Madrid
"Caballero y López, Vicente",Madrid
"Caballero y Villarroel, José",Madrid
"Caballero, Diego",Aragon
"Caballero, José",Andalusia; Madrid
"Cabanas Oteiza, Angel",Basque Country
"Cabané Manauta, Joaquim (or Joaquín)",Catalonia
"Cabanes, Antonio (or Antoni)",Valencia
"Cabanes, Pedro (or Pere)",Valencia
"Cabanyes [the Younger], Félix (or Feliu)",Barcelona
"Cabanyes Marqués, Alexandre (or Alejandro) de",Catalonia
