"Alvarez Fernández, José",1876,1876
"Alvarez Muro, Miguel Angel",1927,1967
"Alvarez Ortega, Rafael",1927,1979
"Alvarez, Manuel Angel",1897,1897
"Amaré, Rafael",1901-1904,1901-1904
"Amat Virgili, José (or Josep)",1881,1944
"Amaya Guerrero, Gabino",1896,1951
"Amirato, Claudio",1951,1951
"Andrada, Francisco",1894,1951
"Anduiza y Saloña, Diódoro",1909,1951
"Angla Roca, Antonio (or Antoni)",1924,1980
"Anglés Cañe, Joaquim (or Joaquín)",1859,1899
"Angoloti, José María",1899,1899
"Ansa, Agustín",1909,1956
"Antonio Martínez, Pedro",1886,1946
"Aparici Solanich, Antonio (or Antoni)",1877-1897,1877-1897
"Aparicio, Lorenzo",1900,1971
"Apellániz Saez de Ybarra, Andrés",1928,1962
"Arasa, Ferran (or Fernando)",1905,1976
"Ardanaz, Pío",1881,1881
"Ardanuy Fernández, Josep Jordi",1914,1979
"Argimón Granell, Daniel",1929,1983
"Argüelles, Julio",1923,1982
"Argüello, Miguel Angel",1941,1973
"Arias Blanco, Salvador",1918,1918
"Ariño de Garay, Norberto",1921,1959
"Ariño, Pedro",1970,1970
"Aristizábal, Manuel",1904,1951
"Arnau, Ramón",1926,1951
"Arranz, Lorenzo",1940,1940
"Arregui, Carlos",1895,1895
"Arriba, Eugenio de",1957-1965,1957-1965
"Arronte, Aureliano",1927-1929,1927-1929
"Artís Tomás, Andreu Avelí (or Andreu Avelli)",1908,1979
"Astoy, Gustave",1893,1950?
"Atenza, Ramón",1876,1876
"Avendaño, Teodomiro",1871,1871
"Aventín Llanas, José María",1906,1944
"Badía Vidiella, Pere (or Pedro)",1889,1921
"Bagés Jané, Josep",1910,1979
"Bahamontes, José",1866-1897,1866-1897
"Balcells Balcells, Josep (or José)",1908,1977
"Banchs Burch, Joan (or Juan)",1905,1944
"Banda y Pineda, Eduardo",1882-1895,1882-1895
"Baqué Mercader, Isidro",1896,1944
"Barahona, José",1909,1951
"Barceló Albadalejo, José",1923,1983
"Barcelona Simón, Luis",1908,1951
"Barciela, José",1899,1899
"Barea, Gumersindo",1924,1924
"Bargués Asensio, Rafael",1907-1930,1907-1930
"Barragán Montemayor, Pedro",1916-1929,1916-1929
"Barrenechea Tubilla, José (or Josep)",1908,1948
"Barrera Díaz, Julio",1896,1940
"Barrios, Manuel",1871-1880,1871-1880
"Barruso, Epifanio",1924,1924
"Bartolí, Josep (or Joseph)",1910,1984
"Bassó Vila, Jacinto (or Jacint)",1894,1951
"Bastida y Fernández Espino, José de la",1897-1906,1897-1906
"Bayarri Ferricol, Arturo",1914,1951
"Bayo Bergalí, Antonio",1894,1944
"Bea Pelayo, Luis",1913-1951,1913-1951
"Bea Pons, Isidor (or Isidoro)",1911,1944
"Beautell Meléndez, Ernesto",1903,1951
"Belli, Benito (or Benet)",1870-op.1884,1870-op.1884
"Bellmunt Trafach, Jaume (or Jaime)",1910,1944
"Bellver e Iñigo, Mariano",1862-1864,1862-1864
"Bellver Ferriol, Manuel",1894,1894
