WNAM,FEM
"Vela Murillo, Consuelo",Y
"Velarde, Condesa de",Y
"Velasco Belausteguigoitia, Rosario",y
"Vidal Nolla, Teresa",y
"Vidal Puig, Lluïsa (or Luisa)",y
"Vidiella Galindo, Ramona",Y
"Villanueva y Ruiz, Juana",Y
"Villarroya, Emilia",Y
"Vives, Carmen",y
"Weiss, María del Rosario",Y
"Yáñez de Santa Cruz, Marta",Y
"Yoli Alvarez, Adela",Y
"Abadía the Younger, Juan de la",
"Abadía, Juan de la",
"Abadías de Santolarios, León",
"Abarzuza y Rodríguez de Arias, Felipe",
"Abas Aranda, Felipe",
"Abelar, Manuel de",
"Abelenda Zapata, Manuel",
"Abella y Garaulet, José",
"Abelló Martín, Juan (or Joan)",
"Abiell, Guillermo (or Guglielmo, or Guillelmus, or Guillem)",
"Abín, César",
"Abreu y Barreda, Gabriel",
"Abreu, Juan",
"Abril y Blasco, Salvador",
"Abril, Bartolomé",
"Aburto, Rafael",
"Acedo, Diego de",
"Aceres, T.",
"Acero, Vicente",
"Acevedo, Cristóbal de",
"Acevedo, José",
"Acevedo, Manuel",
"Acha, Juan Antonio de",
"Acosta Losada, Juan de",
"Acosta, Cayetano",
"Acquaroni, Miguel",
"Acuña, Cosme",
"Adam and Eve Workshop, The",
"Adán, Juan (or Joan)",
"Adán, Miguel",
"Adaro, Eduardo",
"Adelantado, Fernando",
"Adsuara Ramos, Emilio",
"Adsuara Ramos, Juan Bautista",
"Agra, José Antonio de",
"Agramunt, Agustín (or Augustin)",
"Agrasot y Juan, Joaquín (or Joaquim)",
"Agreda, Esteban de",
"Agreda, Manuel de",
"Agua, Bernardino del",
"Aguadé, Carmen María",
"Aguado Alvarez, Alfredo",
"Aguado Arnal, Rafael",
"Aguado García, Joaquín",
"Aguado y Guerra, José",
"Aguayo Benedicte, Fermín",
"Agüero, Benito Manuel de",
"Aguiar García, José",
"Aguiar, Tomás de",
"Aguila Acosta, A[dolfo]",
"Aguila, Baltasar del",
"Aguila, Francisco del",
"Aguila, Francisco del",
"Aguila, Gaspar del",
"Aguila, Miguel del",
"Aguilar Casado, Antonio",
"Aguilar Moré, Ramón",
"Aguilar, Alonso de",
"Aguilar the Elder, Diego de",
"Aguilar the Younger, Diego de",
"Aguilar, Diego de",
"Aguilar, Pere (or Pedro)",
"Aguilera Martí, José (or Josep)",
"Aguiló Tosca, Ataulfo (or Ataülf)",
"Aguirre Sánchez, Lorenzo",
"Aguirre y López, Agustín",
"Aguirre y Monsalbe, Manuel",
"Aguirre y Rodríguez, Miguel",
"Aguirre, Andrés Ginés de",
"Aguirre, Domingo de",
"Aguirre, Domingo de",
"Aguirre, Marcial",
"Agustín y Grande, Francisco",
"Agustín, Francisco",
"Ainaud Sánchez, Manuel",
"Aizpurúa, José Manuel",
"Alabern Casas, Camilo (or Camil)",
"Alabern Casas, Ramón",
"Alabern y Moles, Pablo (or Pau)",
"Alabern, Juan (or Joan)",
"Aladrén, Emilio",
"Alandi, Cristóbal (or Cristófor)",
"Alangua Puchet, Julián",
"Alarcón Suárez, José",
"Alarcón y Cáceres, José María",
"Alarcón, Félix",
"Alarma Tastás, Salvador",
"Alava, Juan de",
"Alava, School of, Anonymous Painters of",
"Alava, School of, Anonymous Sculptors of",
"Alba y Massa, Eduardo de",
"Alba y Rodríguez, Enrique de",
"Albalat, Agustín",
"Albarranch Blasco, Vicente (or Vicent)",
"Albert, Bartolomé",
"Alberti Barceló, Fernando",
"Alberti, Rafael",
"Albiol López, José",
"Albiztur, Bernardo",
"Albizu, Enrique",
"Albuerne, Manuel",
Alburano,
"Alcalá Galiano, Alvaro (Conde del Real Aprecio)",
"Alcalde, Juan",
"Alcañiz [the Younger], Miguel",
"Alcañiz the Elder, Miguel",
"Alcántara Jurado, Francisco",
"Alcántara, Diego de",
"Alcaraz González, Francisco",
"Alcaraz, Francisco de",
"Alcaraz, Julián",
"Alcayde, José",
"Alcayde, Mariano",
"Alcázar Tejedor, José",
"Alcázar y Ruiz, Manuel",
"Alcázar, Diego de",
"Alcázar, Manuel",
"Alcorlo, Manuel",
"Alcoverro y Amorós, José (or Josep)",
"Alcoverro y López, José",
"Aldaz y Sancho, Juan",
"Aldecoa y Arbulo, Adrián María de",
"Aldehuela, José Martín (or Josep Martín) de",
"Aleas Rodríguez, José",
"Aleas Vasco de Troya, Leonardo",
"Aleas, Miguel de",
"Alegre Núñez, Luis (or Lluís)",
"Alegre y Górriz, Pascual",
"Alegre, Manuel",
