AUTHOR
"Ferau y Alsina, Enrique, 1825-1887."
"Sánchez Cotán, Juan, 1560-1627."
"Bacarisas, Gustavo, 1872-1971."
"Baixeras y Verdaguer, Dionisio, 1862-1943."
"Baixas Carreté, Juan, 1863-1925."
"Balaca y Canseco, Ricardo, 1844-1880."
"Balaca y Canseco, Eduardo, 1840-1914."
"Balasch Mateu, Mateo, 1872-1936."
"Bárbara y Balza, Joaquín, 1867-1910."
"Balcells Balcells, Josep, 1908-"
"Balduque, Roque de, -1561."
"Barbeta Antonés, Joan, 1911-"
"Ballester Ballester, Joaquín, 1740-1808."
"Pineda, González, active 19th century."
"Bal, Josep, -1729."
"Balsa de la Vega, Rafael, 1859-1913."
"Barcia y Pavón, Angel, 1841-1927."
"Bañuelos, Antonia de, approximately 1856-"
"Bañuls Aracil, Vicente, 1865-1934."
"Barjola, Juan."
"Basiano, 1889-1966."
"Baroja, Ricardo, 1871-1953."
"Maestro Bartolomé, active approximately 1490."
"Bassa, Ferrer, active 14th century."
"Barral, Emiliano, 1896-1936."
"Master of Urries, active 14th century."
"Barrau, Laureà, 1863-1957."
"Batlle Mir, Jaume, 1801-1858."
"Master of Premiá, active 16th century."
"Barrera Díaz, Julio, 1896-"
"Barrillón Paradell, Josep, 1898-1972."
"Barroeta y Anguisolea, Juan de, 1835-1906."
"Barrón González, Eduardo."
"Barrón y Carrillo, Manuel, 1814-1884."
"Barrutia, Lorenzo, -approximately 1850."
"Bartoli, Joseph."
"Domínguez Bécquer, José María, 1805-1841."
"Bauzá Mas, Juan, 1844-1915."
"Bécquer, Valeriano, 1834-1870."
Bedoyere.
"Bayeu, Manuel, 1740-1809."
"Bayeu, Ramón, 1746-1793."
"Bello, Pedro, active 1494-1503."
"Becerra, Antón, active 1516-1525."
"Ariosto, Felipe, active 1586-1588."
"Belmonte y Vacas, Mariano, 1828-1864."
"Beltrán Masses, Federico, 1885-"
"Benavent Santandreu, Joan, 1903-"
"Moreno Tejada, Juan, -1805."
"Benavides, Vicente de, 1637-1703."
"Benedito Vives, Manuel, 1875-1963."
"Benet Vancells, Rafael, 1889-1979."
"Becerra, Gaspar, 1520?-1568?"
"Garay Macua, Eloy, 1879-1974."
"Domínguez Bécquer, Joaquín, 1817-1879."
"García Benito, Eduardo, 1891-1981."
"Benjumea, Rafael, active 1845-1873."
"García, Juan, active 1879-1882."
"Benlliure y Gil, Blas, 1852-1936."
"Benlliure, José, 1855-1937."
"Benlliure y Gil, Juan Antonio, 1860-1930."
"Benlliure, Mariano, 1862-1947."
"Bilbao, Gonzalo, 1860-1938."
"Benlliure Ortiz, José, 1884-1916."
"Berdejo Elipe, Luis, 1902-1980."
"Berdusán, Vicente, 1632-1697."
"Vergara Bartual, Francisco, 1713-1761."
"Bisquert, Antonio, 1596-1646."
"Bermejo Sobera, José, 1879-"
"Bermudo Mateos, José, active 1876-1929."
"Bernat, Martín, active 1467-1497."
"García, Emmanuel, approximately 1859-1900."
"Blanch Pla, Xavier, 1918-"
"Berrueta, Juan de, active 1590-1594."
"Blanco, Carlos, active 1779-1838."
"Berruguete, Alonso, 1480?-1561."
"Blanco Coris, José, 1862-1946."
"Blay, Miquel, 1866-1936."
"Blesa y Prats, Luis, active 1896-1920."
"Boada Mercader, Pablo."
"Bobadilla, Jerónimo de, approximately 1619-1709."
"Bocanegra, Pedro Atanasio, 1638-1689."
"Bonavera, Juan, active 1747."
"Borrás, Nicolás, 1530-1610."
"Borrás y Abella, Gabriel, 1874 or 1875-1943."
"Borrás y Abella, Vicente, 1867-1945."
"Bonifás Massó, Lluís, 1730-1786."
"Bonnín Guerín, Francisco, 1874-1963."
"María de la Paz, Infanta of Spain, 1862-1946."
"Borrassá, Lluc, 1374 or 1375-"
"Borgoña, Juan de, -1536."
"Bru Pérez, Manuel, 1736-1802."
"Brugada, Antonio de, 1804-1863."
"Brugada y Panizo, Ricardo, 1867-1919."
"Borrell Vidal, Félix, 1875-"
"Borrell del Caso, Pere, 1835-1910."
"Brull Vinyoles, Joan, 1863-1912."
"Borrell Nicolau, Joan, 1888-1951."
"Borrell Pla, Juli, 1877-1957."
"Bosch Roger, Emili, 1894-1980."
"Bosch Sanans, Germà, 1904-"
"Bovi, Francisco, 1872-1947."
"Bracho Murillo, José María, 1827-1882."
"Díaz Valle, active 1781."
"Bráñez, Enrique, 1892-1976."
"Briones, Fernando, 1905-"
"Buades y Frau, Agustín, 1804-1871."
"Buendía y Beltrán, Pablo, active 1897-1899."
"Bueno, José, 1797-1849."
"Bru, Ayne, -approximately 1510."
"Bueno, Xavier, 1915-"
"Bueras, Simón de, active 1540-1586."
"Burgos Mantilla, Francisco de, 1609-1672."
"Bushell Laussat, Francisco, 1826-1901."
"Paz, Pedro de, 1536-"
"Boix-Vives, Anselme, 1899-1969."
"Ceán Bermúdez, Juan Agustín, 1749-1829."
"Bustamante, Juan de, approximately 1493-1555."
"Cuadra, Pedro de la, -1629."
"Batiztutzzi, Aquiles, -1891."
"Rubiales, Pedro de, 1511-"
"García Lema, Pedro, 1906-1989."
"Cantellops, José, -1785."
"Caba Casamitjana, Antoni, 1838-1907."
"Cruz, Manuel de la, 1750-1809."
"Caballero, Diego, active 1647."
"Caballero, José, 1916-1991."
"Juderías Caballero, Máximo, 1867-1951."
"Ruesga, Juan de, -1514."
"Castillo, Francisco del, -1586."
"Tomás, Francisco, 1762-1807."
"Campeny Santamaria, Josep, 1865-1922."
"Cabanyes, Félix, active 1712-1747."
"Carvajal, Luis de, 1567?-1596."
"Cabirol Sendrós, Joan de, 1916-"
"Cabral Aguado Bejarano, Manuel, 1828-1891."
"Cabral Bejarano, Antonio, 1798-1861."
"Cabral Aguado Bejarano, Francisco, 1824-1890."
"Cano de Arévalo, Juan, approximately 1656-approximately 1696."
"Cabrera, Jaume, active 1394-1432."
