"Cortés Echanove, Javier",1982
"Cortés Moreno, Rafael","1917,1930"
"Cortés Pérez, Daniel","1900,1901"
"Cortés y Cordero, Eduardo",1870
"Cossío Villalobos, José",1951
"Costa Solé, Josep (or José)",1944
"Cotter, Emilio","1899,1901"
"Crespo y Villanueva, Manuel","1890,1897"
"Crespo, Esteban",1951
"Cristòfol, Leandre (or Leandro)",1990
"Cuadra Jiménez, Cipriano","1895,1901"
"Cuadra, Fernando de la",1895
"Cuartielles, R.",1885
"Cubas Martín, José",1920
"Cuéllar Sánchez, José",1947
"Cuervo y Heras, Aquilino","1892,1904"
"Curet Paretas, Llorenç (or Lorenzo)",1944
"Davalillo Artigas, Carmel (or Carmelo)",1967
"Davo Rodríguez, Juan",1951
"Delgado, Pedro",1881
"Díaz Alberro, Joaquín",1941
"Díaz Bueno, José",1951
"Díaz Domínguez, Angel",1942
"Díaz Méndez, José Clemente",1941
"Díaz Pardo, Isaac",1977
"Díaz y González, Vicente",1895
"Díaz y Sánchez, Angel",1904
"Díez Penades, José","1897,1901"
"Domecq González, Manuel Jesús",1951
"Domingo, Benet",1949
"Domínguez Meunier, Manuel","1878,1900"
"Dorado, Manuel",1951
"Duque, Manuel",1972
"Durand, Robert",1920
"Echeandía, Julio","1899,1900"
"Escolá, Salvador",1881
"Escribá García, Casimiro","1931,1935"
"Escuder Ferrer, Manuel",1944
"Escudero, Francisco",1909
"Espinós, José",1964
"Esteban y Lozano, Víctor","1856,1884"
"Esteve y Vilella, José",1796
"Fabré Bertrand, Jordi (or Jorge)",1977
"Fàbregas Ferrando, Josep Maria (or José María)",1983
"Feito López, Luis",1991
"Felices, Alfredo",1951
"Fernández Albalat, Andrés",1951
"Fernández Barrio, Jesús",1979
"Fernández Cuervo, Andrés",1975
"Fernández Curro, Antonio",1951
"Fernández del Castillo, José Sixto",1951
"Fernández Hidalgo, Eulalio",1906
"Fernández Marrero, Antonio",1927
"Fernández Martínez, Rafael","1951,1962"
"Fernández Núñez, Rodrigo","1899,1904"
"Fernández Palazuelos, Joaquín",1951
"Fernández Pasajes, José Luis",1944
"Fernández Torrado, Félix",1951
"Fernández y Rodríguez, Silvio",1912
"Fernández, Nicolás",1951
"Ferrándiz Llopis, Tomás",1967
"Ferré Ferré, Ramón",1958
"Ferré Revascall, Josep (or José)",1988
"Ferrer Calatayud, Salvador","1895,1896"
"Ferrer Carbonell, Juan",1977
"Ferrer Comas, Eduardo (or Eduard)",1944
"Ferrer Matas, Santiago","1907,1929"
"Ferrer, Vicente",1876
"Fina Fernández, Guillem",1955
"Fló Guitart, Eduardo (or Eduard)",1944
"Flores Ibáñez, Eduardo","1871,1889"
"Flores, Maravillas",1951
"Florido Berruelo, Enrique",1887
"Fonseca y López de Vinuesa, Fernando",1890
"Fonts Nogués, Andreu (or Andrés)",1974
"Fornells-Pla, Francesc (or Francisco)",1981
"Franco Cordero, José","1878,1892"
"Frau, Josep",1921
"Freixas Vivó, Amadeu","1950,1976"
"Freixes Saurí, Joaquim (or Joaquín)",1942
"Fresno y Arroyo, Anselmo del",1916
"Fresquet, Guillem (or Guillermo)",1990
"Fuente y Almazán, Luis (or Louis) de la",1881
"Fuentes y Redondo, Ubaldo","1892,1915"
"Fuentes, Juan",1924
"Furió, Ernesto",1982
"Gallardo, Luis",1905
"Gallego y Alvarez, Domingo",1878
"Gálvez Roig, José",1951
"Gàndara Bonnín, Manuel",1946
"García Bustamante, Luis",1969
"García de la Cal, Francisco",1881
