RN,FRECN,ALT,authority,search,authimport
1392,717,Gambino,"Gambino, José (or Josef)","Gambino;  Gambino, José (or Josef)","Gambino, José (or Josef)"
1393,717,"Gambino Domínguez, José","Gambino, José (or Josef)","Gambino Domínguez, José;  Gambino, José (or Josef)","Gambino, José (or Josef)"
1394,718,"Caviedes, Hipolito Hidalgo de*","Hidalgo de Caviedes, Hipólito","Caviedes, Hipolito Hidalgo de*;  Hidalgo de Caviedes, Hipólito","Hidalgo de Caviedes, Hipólito"
1395,718,"Hidalgo, Hipólito","Hidalgo de Caviedes, Hipólito","Hidalgo, Hipólito;  Hidalgo de Caviedes, Hipólito","Hidalgo de Caviedes, Hipólito"
1396,719,"Arrúe, José","Arrúe Valle, José","Arrúe, José;  Arrúe Valle, José","Arrúe Valle, José"
1397,719,"Arrúe, Pepe","Arrúe Valle, José","Arrúe, Pepe;  Arrúe Valle, José","Arrúe Valle, José"
1398,719,"Arrúe y Valle, Pepe","Arrúe Valle, José","Arrúe y Valle, Pepe;  Arrúe Valle, José","Arrúe Valle, José"
1399,719,"Valle, José Arrúe*","Arrúe Valle, José","Valle, José Arrúe*;  Arrúe Valle, José","Arrúe Valle, José"
1400,720,"Arrúe, Ricardo","Arrúe Valle, Ricardo","Arrúe, Ricardo;  Arrúe Valle, Ricardo","Arrúe Valle, Ricardo"
1401,720,"Valle, Ricardo Arrúe*","Arrúe Valle, Ricardo","Valle, Ricardo Arrúe*;  Arrúe Valle, Ricardo","Arrúe Valle, Ricardo"
1402,724,"Beaugran, Guyot de","Beaugrant, Guiot (or Guyot) de","Beaugran, Guyot de;  Beaugrant, Guiot (or Guyot) de","Beaugrant, Guiot (or Guyot) de"
1403,724,"Beaugrant, Guyot de","Beaugrant, Guiot (or Guyot) de","Beaugrant, Guyot de;  Beaugrant, Guiot (or Guyot) de","Beaugrant, Guiot (or Guyot) de"
1404,724,"Beaulgrant, Guyot de","Beaugrant, Guiot (or Guyot) de","Beaulgrant, Guyot de;  Beaugrant, Guiot (or Guyot) de","Beaugrant, Guiot (or Guyot) de"
1405,724,"Beogrant, Guiot de (Master)","Beaugrant, Guiot (or Guyot) de","Beogrant, Guiot de (Master);  Beaugrant, Guiot (or Guyot) de","Beaugrant, Guiot (or Guyot) de"
1406,724,"Guiot de Beaugrant, Master","Beaugrant, Guiot (or Guyot) de","Guiot de Beaugrant, Master;  Beaugrant, Guiot (or Guyot) de","Beaugrant, Guiot (or Guyot) de"
1407,725,"Albert, Josef","Albert, Bartolomé","Albert, Josef;  Albert, Bartolomé","Albert, Bartolomé"
