RN,FRECN,ALT,authority,search,authimport
8230,4189,"Rodés, Iu Pascual*","Pascual Rodés, Iu (or Ivo)","Rodés, Iu Pascual*;  Pascual Rodés, Iu (or Ivo)","Pascual Rodés, Iu (or Ivo)"
8231,4190,"Pino, Miguel Angel del","Pino Sardá, Miguel Angel del","Pino, Miguel Angel del;  Pino Sardá, Miguel Angel del","Pino Sardá, Miguel Angel del"
8232,4190,"Sarda, Miguel Angel del Pino*","Pino Sardá, Miguel Angel del","Sarda, Miguel Angel del Pino*;  Pino Sardá, Miguel Angel del","Pino Sardá, Miguel Angel del"
8233,4191,"Valsero, Dionisio Pastor*","Pastor Valsero, Dionisio","Valsero, Dionisio Pastor*;  Pastor Valsero, Dionisio","Pastor Valsero, Dionisio"
8234,4192,"García-Cid, Enrique Paternina*","Paternina García-Cid, Enrique (or Enric)","García-Cid, Enrique Paternina*;  Paternina García-Cid, Enrique (or Enric)","Paternina García-Cid, Enrique (or Enric)"
8235,4192,"Paternina, Enrique","Paternina García-Cid, Enrique (or Enric)","Paternina, Enrique;  Paternina García-Cid, Enrique (or Enric)","Paternina García-Cid, Enrique (or Enric)"
8236,4193,"Carretero, Francisco","Carretero Sánchez, Francisco","Carretero, Francisco;  Carretero Sánchez, Francisco","Carretero Sánchez, Francisco"
8237,4193,"Sánchez, Francisco Carretero*","Carretero Sánchez, Francisco","Sánchez, Francisco Carretero*;  Carretero Sánchez, Francisco","Carretero Sánchez, Francisco"
8238,4194,"Pinole y Rodríguez, Nicanor","Piñole, Nicanor","Pinole y Rodríguez, Nicanor;  Piñole, Nicanor","Piñole, Nicanor"
8239,4194,"Piñole Prendes, Nicanor","Piñole, Nicanor","Piñole Prendes, Nicanor;  Piñole, Nicanor","Piñole, Nicanor"
8240,4194,"Piñole (y) Rodríguez, Nicanor","Piñole, Nicanor","Piñole (y) Rodríguez, Nicanor;  Piñole, Nicanor","Piñole, Nicanor"
8241,4194,"Piñoles, Nicanor","Piñole, Nicanor","Piñoles, Nicanor;  Piñole, Nicanor","Piñole, Nicanor"
8242,4194,"Prendes, Nicanor Piñole","Piñole, Nicanor","Prendes, Nicanor Piñole;  Piñole, Nicanor","Piñole, Nicanor"
8243,4194,"Rodríguez, Nicanor Piñole*","Piñole, Nicanor","Rodríguez, Nicanor Piñole*;  Piñole, Nicanor","Piñole, Nicanor"
8244,4195,"Rabasco, Antonio Rotondo y","Rotondo y Rabasco, Antonio","Rabasco, Antonio Rotondo y;  Rotondo y Rabasco, Antonio","Rotondo y Rabasco, Antonio"
8245,4195,"Rotondo, Antonio","Rotondo y Rabasco, Antonio","Rotondo, Antonio;  Rotondo y Rabasco, Antonio","Rotondo y Rabasco, Antonio"
8246,4197,"Palà, Joan Pinós*","Pinós Palà, Joan (or Juan)","Palà, Joan Pinós*;  Pinós Palà, Joan (or Juan)","Pinós Palà, Joan (or Juan)"
8247,4197,"Pinós, Joan (or Juan)","Pinós Palà, Joan (or Juan)","Pinós, Joan (or Juan);  Pinós Palà, Joan (or Juan)","Pinós Palà, Joan (or Juan)"
8248,4198,"Coll, Francesc Pausas*","Pausas Coll, Francesc (or Francisco)","Coll, Francesc Pausas*;  Pausas Coll, Francesc (or Francisco)","Pausas Coll, Francesc (or Francisco)"
8249,4198,"Pausas, Francesc (or Francisco)","Pausas Coll, Francesc (or Francisco)","Pausas, Francesc (or Francisco);  Pausas Coll, Francesc (or Francisco)","Pausas Coll, Francesc (or Francisco)"
74,42,"Carmona, Manuel Salvador","Salvador Carmona, Manuel","Carmona, Manuel Salvador;  Salvador Carmona, Manuel","Salvador Carmona, Manuel"
849,420,"Bores Lopes, Francisco","Bores, Francisco","Bores Lopes, Francisco;  Bores, Francisco","Bores, Francisco"
850,420,"Lopes, Francisco Bores*","Bores, Francisco","Lopes, Francisco Bores*;  Bores, Francisco","Bores, Francisco"
8250,4201,"Carretero, Eduardo","Carretero Ferré, Eduardo","Carretero, Eduardo;  Carretero Ferré, Eduardo","Carretero Ferré, Eduardo"
8251,4201,"Ferré, Eduardo Carretero*","Carretero Ferré, Eduardo","Ferré, Eduardo Carretero*;  Carretero Ferré, Eduardo","Carretero Ferré, Eduardo"
8252,4202,"Juárez, Julián Oñate","Oñate, Julián","Juárez, Julián Oñate;  Oñate, Julián","Oñate, Julián"
8253,4202,"Oñate Juárez, Julián","Oñate, Julián","Oñate Juárez, Julián;  Oñate, Julián","Oñate, Julián"
8254,4203,"Ostos, José Pedraza*","Pedraza Ostos, José","Ostos, José Pedraza*;  Pedraza Ostos, José","Pedraza Ostos, José"
8255,4203,"Pedraza, José","Pedraza Ostos, José","Pedraza, José;  Pedraza Ostos, José","Pedraza Ostos, José"
8256,4203,"Pedraza Ortos, Josep","Pedraza Ostos, José","Pedraza Ortos, Josep;  Pedraza Ostos, José","Pedraza Ostos, José"
8257,4204,"Iserte, José Piqué*","Piqué Iserte, José","Iserte, José Piqué*;  Piqué Iserte, José","Piqué Iserte, José"
8258,4204,"Piqué, José","Piqué Iserte, José","Piqué, José;  Piqué Iserte, José","Piqué Iserte, José"
8259,4205,"Catulí, Josep Piquet*","Piquet Catulí, Josep  (or José)","Catulí, Josep Piquet*;  Piquet Catulí, Josep  (or José)","Piquet Catulí, Josep  (or José)"
8260,4205,"Piqueras Cotolí, José","Piquet Catulí, Josep  (or José)","Piqueras Cotolí, José;  Piquet Catulí, Josep  (or José)","Piquet Catulí, Josep  (or José)"
8261,4205,"Piquet, Josep","Piquet Catulí, Josep  (or José)","Piquet, Josep;  Piquet Catulí, Josep  (or José)","Piquet Catulí, Josep  (or José)"
8262,4205,"Piquet y Cotolí, José","Piquet Catulí, Josep  (or José)","Piquet y Cotolí, José;  Piquet Catulí, Josep  (or José)","Piquet Catulí, Josep  (or José)"
8263,4206,"Alcain, María Pirala*","Pirala, María","Alcain, María Pirala*;  Pirala, María","Pirala, María"
8264,4206,"Pirala (y) Alcain, María","Pirala, María","Pirala (y) Alcain, María;  Pirala, María","Pirala, María"
851,421,Jean de Bourgogne,"Borgoña, Juan de","Jean de Bourgogne;  Borgoña, Juan de","Borgoña, Juan de"
852,421,Juan (or Junze) de Borgoña,"Borgoña, Juan de","Juan (or Junze) de Borgoña;  Borgoña, Juan de","Borgoña, Juan de"
853,421,Juan de Bourgogne,"Borgoña, Juan de","Juan de Bourgogne;  Borgoña, Juan de","Borgoña, Juan de"
8265,4210,"Pedragosa, Joan","Pedragosa Torres, Joan (or Juan)","Pedragosa, Joan;  Pedragosa Torres, Joan (or Juan)","Pedragosa Torres, Joan (or Juan)"
8266,4210,"Pedregosa Torres, Juan","Pedragosa Torres, Joan (or Juan)","Pedregosa Torres, Juan;  Pedragosa Torres, Joan (or Juan)","Pedragosa Torres, Joan (or Juan)"
8267,4210,"Torres, Joan Pedragosa*","Pedragosa Torres, Joan (or Juan)","Torres, Joan Pedragosa*;  Pedragosa Torres, Joan (or Juan)","Pedragosa Torres, Joan (or Juan)"
8268,4211,"Durán, Francesc Pla*","Pla Durán, Francesc (or Francisco)","Durán, Francesc Pla*;  Pla Durán, Francesc (or Francisco)","Pla Durán, Francesc (or Francisco)"
8269,4211,"Pla, Francesc (or Francisco)","Pla Durán, Francesc (or Francisco)","Pla, Francesc (or Francisco);  Pla Durán, Francesc (or Francisco)","Pla Durán, Francesc (or Francisco)"
8270,4211,"Plá el Vigatá, Francisco","Pla Durán, Francesc (or Francisco)","Plá el Vigatá, Francisco;  Pla Durán, Francesc (or Francisco)","Pla Durán, Francesc (or Francisco)"
8271,4211,"Plá el Viguetá, Francisco","Pla Durán, Francesc (or Francisco)","Plá el Viguetá, Francisco;  Pla Durán, Francesc (or Francisco)","Pla Durán, Francesc (or Francisco)"
8272,4211,"Pla (y) Durán el Vigatá, Francisco","Pla Durán, Francesc (or Francisco)","Pla (y) Durán el Vigatá, Francisco;  Pla Durán, Francesc (or Francisco)","Pla Durán, Francesc (or Francisco)"
8273,4211,"Vigatá, El","Pla Durán, Francesc (or Francisco)","Vigatá, El;  Pla Durán, Francesc (or Francisco)","Pla Durán, Francesc (or Francisco)"
8274,4211,"Viguetá, El","Pla Durán, Francesc (or Francisco)","Viguetá, El;  Pla Durán, Francesc (or Francisco)","Pla Durán, Francesc (or Francisco)"
8275,4213,"Pallejà, Jaume Pla*","Pla Pallejà, Jaume (or Jaime)","Pallejà, Jaume Pla*;  Pla Pallejà, Jaume (or Jaime)","Pla Pallejà, Jaume (or Jaime)"
8276,4213,"Pla, Jaime (or Jaume)","Pla Pallejà, Jaume (or Jaime)","Pla, Jaime (or Jaume);  Pla Pallejà, Jaume (or Jaime)","Pla Pallejà, Jaume (or Jaime)"
8277,4215,"Gallardo, Cecilio Pla*","Pla Gallardo, Cecilio","Gallardo, Cecilio Pla*;  Pla Gallardo, Cecilio","Pla Gallardo, Cecilio"
8278,4215,"Plá, Cecilio","Pla Gallardo, Cecilio","Plá, Cecilio;  Pla Gallardo, Cecilio","Pla Gallardo, Cecilio"
8279,4216,"Blanc, Joan Rovirosa*","Rovirosa Blanc, Joan (or Juan)","Blanc, Joan Rovirosa*;  Rovirosa Blanc, Joan (or Juan)","Rovirosa Blanc, Joan (or Juan)"
8280,4216,"Rovirosa, Joan","Rovirosa Blanc, Joan (or Juan)","Rovirosa, Joan;  Rovirosa Blanc, Joan (or Juan)","Rovirosa Blanc, Joan (or Juan)"
8281,4217,"Sánchez, Adolfo Rubio*","Rubio Sánchez, Adolfo","Sánchez, Adolfo Rubio*;  Rubio Sánchez, Adolfo","Rubio Sánchez, Adolfo"
8282,4218,"Peinado Vallejo, Joaquín (or Joquín)","Peinado, Joaquín","Peinado Vallejo, Joaquín (or Joquín);  Peinado, Joaquín","Peinado, Joaquín"
8283,4218,"Ruiz-Peinado Vallejo, Joaquín","Peinado, Joaquín","Ruiz-Peinado Vallejo, Joaquín;  Peinado, Joaquín","Peinado, Joaquín"
8284,4218,"Vallejo, Joaquín Peinado*","Peinado, Joaquín","Vallejo, Joaquín Peinado*;  Peinado, Joaquín","Peinado, Joaquín"
854,422,"Bru, Manuel","Bru Pérez, Manuel","Bru, Manuel;  Bru Pérez, Manuel","Bru Pérez, Manuel"
855,422,"Pérez, Manuel Bru*","Bru Pérez, Manuel","Pérez, Manuel Bru*;  Bru Pérez, Manuel","Bru Pérez, Manuel"
8285,4220,"Dòria, Francesc d'Assís Planas*","Planas Dòria, Francesc d'Assís (or Francisco de Asis)","Dòria, Francesc d'Assís Planas*;  Planas Dòria, Francesc d'Assís (or Francisco de Asis)","Planas Dòria, Francesc d'Assís (or Francisco de Asis)"
8286,4220,"Planas (i) Doria, Francesc (or Francisco)","Planas Dòria, Francesc d'Assís (or Francisco de Asis)","Planas (i) Doria, Francesc (or Francisco);  Planas Dòria, Francesc d'Assís (or Francisco de Asis)","Planas Dòria, Francesc d'Assís (or Francisco de Asis)"
8287,4221,"Fernández, Eduardo Pelayo*","Pelayo Fernández, Eduardo","Fernández, Eduardo Pelayo*;  Pelayo Fernández, Eduardo","Pelayo Fernández, Eduardo"
8288,4221,"Pelayo, Eduardo","Pelayo Fernández, Eduardo","Pelayo, Eduardo;  Pelayo Fernández, Eduardo","Pelayo Fernández, Eduardo"
8289,4222,"Guasch, Fernando Planas*","Planas Guasch, Fernando","Guasch, Fernando Planas*;  Planas Guasch, Fernando","Planas Guasch, Fernando"
8290,4224,Capuletti,"Capuletti, José Manuel","Capuletti;  Capuletti, José Manuel","Capuletti, José Manuel"
8291,4224,"Capuletti, José","Capuletti, José Manuel","Capuletti, José;  Capuletti, José Manuel","Capuletti, José Manuel"
8292,4224,"Capuletti Lillo del Pozo, José Manuel","Capuletti, José Manuel","Capuletti Lillo del Pozo, José Manuel;  Capuletti, José Manuel","Capuletti, José Manuel"
8293,4224,"Lillo del Pozo, José Manuel Capuletti*","Capuletti, José Manuel","Lillo del Pozo, José Manuel Capuletti*;  Capuletti, José Manuel","Capuletti, José Manuel"
8294,4225,"Clariana, Josep Pelegrí*","Pelegrí Clariana, Josep (or José)","Clariana, Josep Pelegrí*;  Pelegrí Clariana, Josep (or José)","Pelegrí Clariana, Josep (or José)"
8295,4225,"Pelegrí, José","Pelegrí Clariana, Josep (or José)","Pelegrí, José;  Pelegrí Clariana, Josep (or José)","Pelegrí Clariana, Josep (or José)"
8296,4226,"Planell, Joan Pelfort*","Pelfort Planell, Joan (or Juan)","Planell, Joan Pelfort*;  Pelfort Planell, Joan (or Juan)","Pelfort Planell, Joan (or Juan)"
8297,4227,"Pelegret, Tomás (de)","Peliguet, Tomás","Pelegret, Tomás (de);  Peliguet, Tomás","Peliguet, Tomás"
8298,4227,"Peliget, Tomás","Peliguet, Tomás","Peliget, Tomás;  Peliguet, Tomás","Peliguet, Tomás"
8299,4227,"Peligret, Tomás","Peliguet, Tomás","Peligret, Tomás;  Peliguet, Tomás","Peliguet, Tomás"
8300,4227,"Pueliguete, Tomás","Peliguet, Tomás","Pueliguete, Tomás;  Peliguet, Tomás","Peliguet, Tomás"
8301,4227,"Tomás, Master","Peliguet, Tomás","Tomás, Master;  Peliguet, Tomás","Peliguet, Tomás"
8302,4228,"Blasco, José Ruiz*","Ruiz Blasco, José","Blasco, José Ruiz*;  Ruiz Blasco, José","Ruiz Blasco, José"
8303,4228,"Ruiz, José","Ruiz Blasco, José","Ruiz, José;  Ruiz Blasco, José","Ruiz Blasco, José"
8304,4228,"Ruiz Blanco, José","Ruiz Blasco, José","Ruiz Blanco, José;  Ruiz Blasco, José","Ruiz Blasco, José"
8305,4229,"Burgos, José Ruiz de Almodóvar*","Ruiz de Almodóvar, José","Burgos, José Ruiz de Almodóvar*;  Ruiz de Almodóvar, José","Ruiz de Almodóvar, José"
8306,4229,"Ruiz de Almodóvar y Burgos, José","Ruiz de Almodóvar, José","Ruiz de Almodóvar y Burgos, José;  Ruiz de Almodóvar, José","Ruiz de Almodóvar, José"
856,423,"Brugada, Antonio (de)","Brugada Vila, Antonio de","Brugada, Antonio (de);  Brugada Vila, Antonio de","Brugada Vila, Antonio de"
857,423,"Vila, Antonio de Brugada*","Brugada Vila, Antonio de","Vila, Antonio de Brugada*;  Brugada Vila, Antonio de","Brugada Vila, Antonio de"
8307,4230,"Conxelló, Gabriel Planella*","Planella Conxelló, Gabriel","Conxelló, Gabriel Planella*;  Planella Conxelló, Gabriel","Planella Conxelló, Gabriel"
8308,4230,"Planella, Gabriel","Planella Conxelló, Gabriel","Planella, Gabriel;  Planella Conxelló, Gabriel","Planella Conxelló, Gabriel"
8309,4230,"Planella, Gabriel II","Planella Conxelló, Gabriel","Planella, Gabriel II;  Planella Conxelló, Gabriel","Planella Conxelló, Gabriel"
8310,4230,"Planella II, Gabriel","Planella Conxelló, Gabriel","Planella II, Gabriel;  Planella Conxelló, Gabriel","Planella Conxelló, Gabriel"
8311,4231,"Feñé, Josep Lluís Pellicer*","Pellicer Feñé, Josep Lluís (or José Luis)","Feñé, Josep Lluís Pellicer*;  Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Feñé, Josep Lluís (or José Luis)"
8312,4231,Nyap [pseud.],"Pellicer Feñé, Josep Lluís (or José Luis)","Nyap [pseud.];  Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Feñé, Josep Lluís (or José Luis)"
8313,4231,Nyapus [pseud.],"Pellicer Feñé, Josep Lluís (or José Luis)","Nyapus [pseud.];  Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Feñé, Josep Lluís (or José Luis)"
8314,4231,"Pellicer, José Luis (or Josep Lluís)","Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer, José Luis (or Josep Lluís);  Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Feñé, Josep Lluís (or José Luis)"
8315,4231,"Pellicer y Fener, José Luis","Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer y Fener, José Luis;  Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Feñé, Josep Lluís (or José Luis)"
8316,4231,"Pellicer Fenier, José Luis","Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Fenier, José Luis;  Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Feñé, Josep Lluís (or José Luis)"
8317,4231,"Pellicer (i) Fenyé, Josep Lluís","Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer (i) Fenyé, Josep Lluís;  Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Feñé, Josep Lluís (or José Luis)"
8318,4231,"Pellicer y Feñer, José Luis","Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer y Feñer, José Luis;  Pellicer Feñé, Josep Lluís (or José Luis)","Pellicer Feñé, Josep Lluís (or José Luis)"
8319,4232,"Conxelló, Joaquim Planella*","Planella Conxelló, Joaquim (or Joaquín)","Conxelló, Joaquim Planella*;  Planella Conxelló, Joaquim (or Joaquín)","Planella Conxelló, Joaquim (or Joaquín)"
8320,4232,"Planella, Joaquim (or Joaquín)","Planella Conxelló, Joaquim (or Joaquín)","Planella, Joaquim (or Joaquín);  Planella Conxelló, Joaquim (or Joaquín)","Planella Conxelló, Joaquim (or Joaquín)"
8321,4233,"Galeote, Rafael Pellicer*","Pellicer Galeote, Rafael","Galeote, Rafael Pellicer*;  Pellicer Galeote, Rafael","Pellicer Galeote, Rafael"
8322,4233,"Pellicer, Rafael","Pellicer Galeote, Rafael","Pellicer, Rafael;  Pellicer Galeote, Rafael","Pellicer Galeote, Rafael"
8323,4234,Capuleto,"Capuleto, Francisco","Capuleto;  Capuleto, Francisco","Capuleto, Francisco"
8324,4234,"Capulino Pérez, Francisco","Capuleto, Francisco","Capulino Pérez, Francisco;  Capuleto, Francisco","Capuleto, Francisco"
8325,4234,"Pérez, Francisco Capulino*","Capuleto, Francisco","Pérez, Francisco Capulino*;  Capuleto, Francisco","Capuleto, Francisco"
8326,4235,"Muñoz, Maximino Peña*","Peña Muñoz, Maximino","Muñoz, Maximino Peña*;  Peña Muñoz, Maximino","Peña Muñoz, Maximino"
8327,4235,"Pena y Munoz, Maximino","Peña Muñoz, Maximino","Pena y Munoz, Maximino;  Peña Muñoz, Maximino","Peña Muñoz, Maximino"
8328,4235,"Peña, Maximino","Peña Muñoz, Maximino","Peña, Maximino;  Peña Muñoz, Maximino","Peña Muñoz, Maximino"
8329,4236,"Cáceres, Narciso Ruiz de*","Ruiz de Cáceres, Narciso","Cáceres, Narciso Ruiz de*;  Ruiz de Cáceres, Narciso","Ruiz de Cáceres, Narciso"
8330,4237,"Penalosa y Sandoval, Juan de","Peñalosa, Juan de","Penalosa y Sandoval, Juan de;  Peñalosa, Juan de","Peñalosa, Juan de"
8331,4237,"Peñalosa y Sandoval, Juan de","Peñalosa, Juan de","Peñalosa y Sandoval, Juan de;  Peñalosa, Juan de","Peñalosa, Juan de"
8332,4237,"Sandoval, Juan de Peñalosa*","Peñalosa, Juan de","Sandoval, Juan de Peñalosa*;  Peñalosa, Juan de","Peñalosa, Juan de"
8333,4238,"Conxelló, Ramon Planella*","Planella Conxelló, Ramon","Conxelló, Ramon Planella*;  Planella Conxelló, Ramon","Planella Conxelló, Ramon"
8334,4238,"Planella, Ramón","Planella Conxelló, Ramon","Planella, Ramón;  Planella Conxelló, Ramon","Planella Conxelló, Ramon"
858,424,"Angers, Juan de","Angés the Younger, Juan de","Angers, Juan de;  Angés the Younger, Juan de","Angés the Younger, Juan de"
859,424,"Angers the Younger, Juan","Angés the Younger, Juan de","Angers the Younger, Juan;  Angés the Younger, Juan de","Angés the Younger, Juan de"
860,424,"Angés, Juan de","Angés the Younger, Juan de","Angés, Juan de;  Angés the Younger, Juan de","Angés the Younger, Juan de"
861,424,Juan de Angés,"Angés the Younger, Juan de","Juan de Angés;  Angés the Younger, Juan de","Angés the Younger, Juan de"
8335,4241,"Coromina, Josep Planella*","Planella Coromina, Josep (or José)","Coromina, Josep Planella*;  Planella Coromina, Josep (or José)","Planella Coromina, Josep (or José)"
8336,4241,"Planella, José","Planella Coromina, Josep (or José)","Planella, José;  Planella Coromina, Josep (or José)","Planella Coromina, Josep (or José)"
8337,4241,"Planella y Corominas, José","Planella Coromina, Josep (or José)","Planella y Corominas, José;  Planella Coromina, Josep (or José)","Planella Coromina, Josep (or José)"
8338,4243,"Peñalver, José Planes*","Planes Peñalver, José","Peñalver, José Planes*;  Planes Peñalver, José","Planes Peñalver, José"
8339,4243,"Planes, José","Planes Peñalver, José","Planes, José;  Planes Peñalver, José","Planes Peñalver, José"
8340,4244,"Plans, Josep","Plans Sola, Josep (or José)","Plans, Josep;  Plans Sola, Josep (or José)","Plans Sola, Josep (or José)"
8341,4244,"Sola, Josep Plans*","Plans Sola, Josep (or José)","Sola, Josep Plans*;  Plans Sola, Josep (or José)","Plans Sola, Josep (or José)"
8342,4245,"Campo, Francisco Peralta del*","Peralta del Campo, Francisco","Campo, Francisco Peralta del*;  Peralta del Campo, Francisco","Peralta del Campo, Francisco"
8343,4245,"Peralta, Francisco","Peralta del Campo, Francisco","Peralta, Francisco;  Peralta del Campo, Francisco","Peralta del Campo, Francisco"
8344,4247,"De Perceval, Jesús","Perceval, Jesús de","De Perceval, Jesús;  Perceval, Jesús de","Perceval, Jesús de"
8345,4247,"Moral, Jesús Peréz de Perceval y del*","Perceval, Jesús de","Moral, Jesús Peréz de Perceval y del*;  Perceval, Jesús de","Perceval, Jesús de"
8346,4247,"Percebal, Jesús de","Perceval, Jesús de","Percebal, Jesús de;  Perceval, Jesús de","Perceval, Jesús de"
8347,4247,Perceval,"Perceval, Jesús de","Perceval;  Perceval, Jesús de","Perceval, Jesús de"
8348,4247,"Perceval, Jesús Pérez de","Perceval, Jesús de","Perceval, Jesús Pérez de;  Perceval, Jesús de","Perceval, Jesús de"
8349,4247,"Pérez de Perceval, Jesús","Perceval, Jesús de","Pérez de Perceval, Jesús;  Perceval, Jesús de","Perceval, Jesús de"
8350,4247,"Pérez de Perceval y del Moral, Jesús","Perceval, Jesús de","Pérez de Perceval y del Moral, Jesús;  Perceval, Jesús de","Perceval, Jesús de"
8351,4248,"Hernández, Jesús María Perdigón*","Perdigón, Jesús María","Hernández, Jesús María Perdigón*;  Perdigón, Jesús María","Perdigón, Jesús María"
8352,4248,"Perdigón Hernández, Jesús María","Perdigón, Jesús María","Perdigón Hernández, Jesús María;  Perdigón, Jesús María","Perdigón, Jesús María"
8353,4249,"Perea, Antonio de","Pereda, Antonio de","Perea, Antonio de;  Pereda, Antonio de","Pereda, Antonio de"
8354,4249,"Pereda y Saldago, Antonio de","Pereda, Antonio de","Pereda y Saldago, Antonio de;  Pereda, Antonio de","Pereda, Antonio de"
8355,4249,"Pereda y Salgado, Antonio de","Pereda, Antonio de","Pereda y Salgado, Antonio de;  Pereda, Antonio de","Pereda, Antonio de"
8356,4249,"Salgado, Antonio de Pereda*","Pereda, Antonio de","Salgado, Antonio de Pereda*;  Pereda, Antonio de","Pereda, Antonio de"
862,425,"Brugada, Ricardo","Brugada y Panizo, Ricardo (or Ricard)","Brugada, Ricardo;  Brugada y Panizo, Ricardo (or Ricard)","Brugada y Panizo, Ricardo (or Ricard)"
863,425,"Brugada y Panito, Ricardo","Brugada y Panizo, Ricardo (or Ricard)","Brugada y Panito, Ricardo;  Brugada y Panizo, Ricardo (or Ricard)","Brugada y Panizo, Ricardo (or Ricard)"
864,425,"Panizo, Ricardo Brugada*","Brugada y Panizo, Ricardo (or Ricard)","Panizo, Ricardo Brugada*;  Brugada y Panizo, Ricardo (or Ricard)","Brugada y Panizo, Ricardo (or Ricard)"
8357,4251,"Ruiz, Sánchez Morales","Ruiz Sánchez Morales, Manuel Bernardino","Ruiz, Sánchez Morales;  Ruiz Sánchez Morales, Manuel Bernardino","Ruiz Sánchez Morales, Manuel Bernardino"
8358,4251,"Ruiz Morales, Manuel","Ruiz Sánchez Morales, Manuel Bernardino","Ruiz Morales, Manuel;  Ruiz Sánchez Morales, Manuel Bernardino","Ruiz Sánchez Morales, Manuel Bernardino"
8359,4251,"Ruiz Sánchez Morales, Manuel","Ruiz Sánchez Morales, Manuel Bernardino","Ruiz Sánchez Morales, Manuel;  Ruiz Sánchez Morales, Manuel Bernardino","Ruiz Sánchez Morales, Manuel Bernardino"
8360,4251,"Sánchez Morales, Manuel Bernardino Ruiz*","Ruiz Sánchez Morales, Manuel Bernardino","Sánchez Morales, Manuel Bernardino Ruiz*;  Ruiz Sánchez Morales, Manuel Bernardino","Ruiz Sánchez Morales, Manuel Bernardino"
8361,4253,"Peresejo, José (pseud.)",Peresejo (pseud.),"Peresejo, José (pseud.);  Peresejo (pseud.)",Peresejo (pseud.)
8362,4253,"Pérez (i or y) Pérez, José (or Josep)",Peresejo (pseud.),"Pérez (i or y) Pérez, José (or Josep);  Peresejo (pseud.)",Peresejo (pseud.)
8363,4254,"Petrus, Miguel","Pertús, Miguel","Petrus, Miguel;  Pertús, Miguel","Pertús, Miguel"
8364,4255,"Cazorla, Francisco Polanco de*","Polanco, Francisco","Cazorla, Francisco Polanco de*;  Polanco, Francisco","Polanco, Francisco"
8365,4255,"Polanco, Francisco Miguel","Polanco, Francisco","Polanco, Francisco Miguel;  Polanco, Francisco","Polanco, Francisco"
8366,4255,Polanco Brothers,"Polanco, Francisco","Polanco Brothers;  Polanco, Francisco","Polanco, Francisco"
8367,4255,"Polanco de Cazorla, Francisco","Polanco, Francisco","Polanco de Cazorla, Francisco;  Polanco, Francisco","Polanco, Francisco"
8368,4255,"Polancos, Los","Polanco, Francisco","Polancos, Los;  Polanco, Francisco","Polanco, Francisco"
8369,4257,"Cazorla, Miguel Polanco de*","Polanco, Miguel","Cazorla, Miguel Polanco de*;  Polanco, Miguel","Polanco, Miguel"
8370,4257,Polanco Brothers,"Polanco, Miguel","Polanco Brothers;  Polanco, Miguel","Polanco, Miguel"
8371,4257,"Polanco de Cazorla, Miguel","Polanco, Miguel","Polanco de Cazorla, Miguel;  Polanco, Miguel","Polanco, Miguel"
8372,4257,"Polancos, Los","Polanco, Miguel","Polancos, Los;  Polanco, Miguel","Polanco, Miguel"
865,426,"Borrel y Vidal, Félix","Borrell Vidal, Félix (or Feliu)","Borrel y Vidal, Félix;  Borrell Vidal, Félix (or Feliu)","Borrell Vidal, Félix (or Feliu)"
866,426,"Borrell, Félix","Borrell Vidal, Félix (or Feliu)","Borrell, Félix;  Borrell Vidal, Félix (or Feliu)","Borrell Vidal, Félix (or Feliu)"
867,426,"Vidal, Félix Borrell*","Borrell Vidal, Félix (or Feliu)","Vidal, Félix Borrell*;  Borrell Vidal, Félix (or Feliu)","Borrell Vidal, Félix (or Feliu)"
8373,4261,"Dehesa, Bartolomé Pérez*","Pérez, Bartolomé","Dehesa, Bartolomé Pérez*;  Pérez, Bartolomé","Pérez, Bartolomé"
8374,4261,"Pérez de la Dehesa, Bartolomé","Pérez, Bartolomé","Pérez de la Dehesa, Bartolomé;  Pérez, Bartolomé","Pérez, Bartolomé"
8375,4263,"Toledo, Vicente Poleró*","Poleró y Toledo, Vicente","Toledo, Vicente Poleró*;  Poleró y Toledo, Vicente","Poleró y Toledo, Vicente"
8376,4264,"Martínez, Silvestre Pérez*","Pérez y Martínez, Silvestre","Martínez, Silvestre Pérez*;  Pérez y Martínez, Silvestre","Pérez y Martínez, Silvestre"
8377,4264,"Pérez, Silvestre","Pérez y Martínez, Silvestre","Pérez, Silvestre;  Pérez y Martínez, Silvestre","Pérez y Martínez, Silvestre"
8378,4265,"Pompey, Francisco","Pompey Salgueiro, Francisco","Pompey, Francisco;  Pompey Salgueiro, Francisco","Pompey Salgueiro, Francisco"
8379,4265,"Salgueiro, Francisco Pompey*","Pompey Salgueiro, Francisco","Salgueiro, Francisco Pompey*;  Pompey Salgueiro, Francisco","Pompey Salgueiro, Francisco"
