RN,WNAM,,LCN,FRESCOSH,BDATN,BQN,BQEN,BDQN,DDATN,DQN,DQEN,DDQN,OPRN,OQN,OOQN,WDATES,SDATN,SDAT2N,CENN,CNUMN,SCHN,NSCHP,CLNON,MEDN,NBN,UDATN,FEM,CLN,UNCLN,SUPN,STAMPN,UPN,teaser,SORTNAME,FirstLetter,SEARCH,alts,holdings,bestname,,recid,notes,earliestdate,latestdate,latest,earliest,problem,teasterweb,event,more,teasterweb2,,,
5335,"Pons Cavaller, María del Rosario (or Roser)",,,,,,,,,,,,1907-1912,exh.,exh.1907-1912,exh.1907-1912,1907,1907,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:29:19,CDEA |D 1994 11 09 |T 16:29:19,,"Pons Cavaller, María del Rosario (or Roser)",P,"Pons Cavaller, María del Rosario (or Roser) Cavaller, María del Rosario Pons*","Cavaller, María del Rosario Pons*",,"Pons Cavaller, María del Rosario (or Roser)",,4082,Barcelona. ,1907,1912,1912,1907,,,"<event start='1907' end='1912' isDuration='true' title='Pons Cavaller, María del Rosario (or Roser)' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1907-1912; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4082'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4082'&gt;more...&lt;/a&gt;,exh.1907-1912; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4082,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4082</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
4279,"Pons Iranzo, Elisabet (or Elisabeta)",,,,1912,n.,,n.1912,,,,,1975,exh.,exh.1975,n.1912-exh.1975,1912,1912,,,Barcelona,Spanish,800,Painter and printmaker,,,y,,,,GUI |D 1994 09 22 |T 09:38:23,GUI |D 1994 09 22 |T 09:38:23,,"Pons Iranzo, Elisabet (or Elisabeta)",P,"Pons Iranzo, Elisabet (or Elisabeta) Iranzo, Elisabet Pons*","Iranzo, Elisabet Pons*",,"Pons Iranzo, Elisabet (or Elisabeta)",,4083,Barcelona. ,1912,1975,1975,1912,,,"<event start='1912' end='1975' isDuration='true' title='Pons Iranzo, Elisabet (or Elisabeta)' classname='Painter and printmaker' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1912-exh.1975; Painter and printmaker; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4083'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4083'&gt;more...&lt;/a&gt;,n.1912-exh.1975; Painter and printmaker; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4083,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4083</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5336,"Portella Estrada, Pilar",,,,,,,,,,,,1904-1911,exh.,exh.1904-1911,exh.1904-1911,1904,1904,,,Barcelona,Spanish,800,Painter and sculptor,,,Y,,,,CDEA |D 1994 11 09 |T 16:32:29,CDEA |D 1994 11 09 |T 16:32:29,,"Portella Estrada, Pilar",P,"Portella Estrada, Pilar Estrada, Pilar Portella*","Estrada, Pilar Portella*",,"Portella Estrada, Pilar",,4095,Barcelona. ,1904,1911,1911,1904,,,"<event start='1904' end='1911' isDuration='true' title='Portella Estrada, Pilar' classname='Painter and sculptor' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1904-1911; Painter and sculptor; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4095'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4095'&gt;more...&lt;/a&gt;,exh.1904-1911; Painter and sculptor; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4095,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4095</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5337,"Pozas, Magdalena",,,,,,,,,,,,1867-1868,exh.,exh.1867-1868,exh.1867-1868,1867,1867,,,Saragossa,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:36:47,CDEA |D 1994 11 09 |T 16:36:47,,"Pozas, Magdalena",P,"Pozas, Magdalena ",,,"Pozas, Magdalena",,4104,Saragossa. ,1867,1868,1868,1867,,,"<event start='1867' end='1868' isDuration='true' title='Pozas, Magdalena' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1867-1868; Saragossa  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4104'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4104'&gt;more...&lt;/a&gt;,exh.1867-1868; Saragossa,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4104,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4104</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5338,"Prat Torres, Concepció (or Concepción, or Conxa)",,,,,,,,,,,,1918-1920,exh.,exh.1918-1920,exh.1918-1920,1918,1918,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:39:18,CDEA |D 1994 11 09 |T 16:39:18,,"Prat Torres, Concepció (or Concepción, or Conxa)",P,"Prat Torres, Concepció (or Concepción, or Conxa) Torres, Concepció Prat*","Torres, Concepció Prat*",,"Prat Torres, Concepció (or Concepción, or Conxa)",,4114,Barcelona. ,1918,1920,1920,1918,,,"<event start='1918' end='1920' isDuration='true' title='Prat Torres, Concepció (or Concepción, or Conxa)' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1918-1920; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4114'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4114'&gt;more...&lt;/a&gt;,exh.1918-1920; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4114,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4114</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5340,"Prats de Presas, Maria dels Dolors (or María de los  Dolores)",,,,,,,,,,,,1911-1926,exh.,exh.1911-1926,exh.1911-1926,1911,1911,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:43:07,CDEA |D 1994 11 09 |T 16:43:07,,"Prats de Presas, Maria dels Dolors (or María de los  Dolores)",P,"Prats de Presas, Maria dels Dolors (or María de los  Dolores) Presas, Maria dels Dolors Prats de*","Presas, Maria dels Dolors Prats de*",,"Prats de Presas, Maria dels Dolors (or María de los  Dolores)",,4117,Barcelona. ,1911,1926,1926,1911,,,"<event start='1911' end='1926' isDuration='true' title='Prats de Presas, Maria dels Dolors (or María de los  Dolores)' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1911-1926; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4117'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4117'&gt;more...&lt;/a&gt;,exh.1911-1926; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4117,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4117</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5339,"Prats Juani, Rosa",,,,,,,,,,,,1919-1921,exh.,exh.1919-1921,exh.1919-1921,1919,1919,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:41:10,CDEA |D 1994 11 09 |T 16:41:10,,"Prats Juani, Rosa",P,"Prats Juani, Rosa Juani, Rosa Prats*","Juani, Rosa Prats*",,"Prats Juani, Rosa",,4118,Barcelona. ,1919,1921,1921,1919,,,"<event start='1919' end='1921' isDuration='true' title='Prats Juani, Rosa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1919-1921; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4118'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4118'&gt;more...&lt;/a&gt;,exh.1919-1921; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4118,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4118</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5341,"Prats Petit, Teresa",,,,,,,,,,,,1918,exh.,exh.1918,exh.1918,1918,1918,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:44:23,CDEA |D 1994 11 09 |T 16:44:23,,"Prats Petit, Teresa",P,"Prats Petit, Teresa Petit, Teresa Prats*","Petit, Teresa Prats*",,"Prats Petit, Teresa",,4119,Barcelona. ,1918,1918,1918,1918,,,"<event start='1918' end='1918' isDuration='true' title='Prats Petit, Teresa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1918; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4119'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4119'&gt;more...&lt;/a&gt;,exh.1918; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4119,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4119</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5342,"Puente, Concha de la",,,,,,,,,,,,1892,exh.,exh.1892,exh.1892,1892,1892,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:48:23,CDEA |D 1994 11 09 |T 16:48:23,,"Puente, Concha de la",P,"Puente, Concha de la ",,,"Puente, Concha de la",,4133,Madrid. ,1892,1892,1892,1892,,,"<event start='1892' end='1892' isDuration='true' title='Puente, Concha de la' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1892; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4133'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4133'&gt;more...&lt;/a&gt;,exh.1892; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4133,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4133</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
4374,"Puig Cisa, Teresa",,,,1917,n.,,n.1917,,,,,1978,exh.,exh.1978,n.1917-exh.1978,1917,1917,,,Barcelona,Spanish,800,,,,y,,,,DOI |D 1994 09 23 |T 14:32:23,DOI |D 1994 09 23 |T 14:32:23,,"Puig Cisa, Teresa",P,"Puig Cisa, Teresa Cisa, Teresa Puig*","Cisa, Teresa Puig*",,"Puig Cisa, Teresa",,4137,Barcelona. ,1917,1978,1978,1917,,,"<event start='1917' end='1978' isDuration='true' title='Puig Cisa, Teresa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1917-exh.1978; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4137'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4137'&gt;more...&lt;/a&gt;,n.1917-exh.1978; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4137,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4137</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5343,"Puig de Marqués, Rosa",,,,,,,,,,,,1892,exh.,exh.1892,exh.1892,1892,1892,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:52:52,CDEA |D 1994 11 09 |T 16:52:52,,"Puig de Marqués, Rosa",P,"Puig de Marqués, Rosa Marqués, Rosa Puig de*","Marqués, Rosa Puig de*",,"Puig de Marqués, Rosa",,4138,Barcelona. ,1892,1892,1892,1892,,,"<event start='1892' end='1892' isDuration='true' title='Puig de Marqués, Rosa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1892; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4138'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4138'&gt;more...&lt;/a&gt;,exh.1892; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4138,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4138</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5344,"Puiggarí de Ulsamer, Julia",,,,1873,n.,,n.1873,,,,,1918,exh.,exh.1918,n.1873-exh.1918,1873,1873,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:56:30,CDEA |D 1994 11 09 |T 16:56:30,,"Puiggarí de Ulsamer, Julia",P,"Puiggarí de Ulsamer, Julia Ulsamer, Julia Puiggarí de*","Ulsamer, Julia Puiggarí de*",,"Puiggarí de Ulsamer, Julia",,4144,Barcelona. ,1873,1918,1918,1873,,,"<event start='1873' end='1918' isDuration='true' title='Puiggarí de Ulsamer, Julia' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1873-exh.1918; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4144'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4144'&gt;more...&lt;/a&gt;,n.1873-exh.1918; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4144,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4144</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5346,"Puiggener y Sánchez, María Luisa",,,,1875,n.,,n.1875,,,,,1921,exh.,exh.1921,n.1875-exh.1921,1875,1875,,,Cádiz,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 17:00:42,CDEA |D 1994 11 09 |T 17:00:42,,"Puiggener y Sánchez, María Luisa",P,"Puiggener y Sánchez, María Luisa Puigganer, Luisa","Puigganer, Luisa",,"Puiggener y Sánchez, María Luisa",,4145,Cádiz. ,1875,1921,1921,1875,,,"<event start='1875' end='1921' isDuration='true' title='Puiggener y Sánchez, María Luisa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1875-exh.1921; Cádiz  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4145'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4145'&gt;more...&lt;/a&gt;,n.1875-exh.1921; Cádiz,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4145,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4145</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5345,"Puiggener, Lluïsa (or Luisa)",,,,,,,,,,,,1907,exh.,exh.1907,exh.1907,1907,1907,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 16:58:14,CDEA |D 1994 11 09 |T 16:58:14,,"Puiggener, Lluïsa (or Luisa)",P,"Puiggener, Lluïsa (or Luisa) ",,,"Puiggener, Lluïsa (or Luisa)",,4146,Barcelona. ,1907,1907,1907,1907,,,"<event start='1907' end='1907' isDuration='true' title='Puiggener, Lluïsa (or Luisa)' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1907; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4146'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4146'&gt;more...&lt;/a&gt;,exh.1907; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4146,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4146</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5347,"Pujolar, Concepció",,,,,,,,,,,,1928,exh.,exh.1928,exh.1928,1928,1928,,,Catalonia,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 17:12:39,CDEA |D 1994 11 09 |T 17:12:39,,"Pujolar, Concepció",P,"Pujolar, Concepció ",,,"Pujolar, Concepció",,4152,Catalonia. ,1928,1928,1928,1928,,,"<event start='1928' end='1928' isDuration='true' title='Pujolar, Concepció' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1928; Catalonia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4152'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4152'&gt;more...&lt;/a&gt;,exh.1928; Catalonia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4152,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4152</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5348,"Pulgar, Aurora",,,,,,,,,,,,1839,exh.,exh.1839,exh.1839,1839,1839,,,Granada,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 17:14:39,CDEA |D 1994 11 09 |T 17:14:39,,"Pulgar, Aurora",P,"Pulgar, Aurora ",,,"Pulgar, Aurora",,4153,Granada. ,1839,1839,1839,1839,,,"<event start='1839' end='1839' isDuration='true' title='Pulgar, Aurora' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1839; Granada  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4153'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4153'&gt;more...&lt;/a&gt;,exh.1839; Granada,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4153,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4153</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5349,"Puñonrostro, Rosalía",,,,,,,,,,,,1881,exh.,exh.1881,exh.1881,1881,1881,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 17:16:33,CDEA |D 1994 11 09 |T 17:16:33,,"Puñonrostro, Rosalía",P,"Puñonrostro, Rosalía ",,,"Puñonrostro, Rosalía",,4155,Madrid. ,1881,1881,1881,1881,,,"<event start='1881' end='1881' isDuration='true' title='Puñonrostro, Rosalía' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1881; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4155'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4155'&gt;more...&lt;/a&gt;,exh.1881; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4155,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4155</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5350,"Puxan Carreras, Teresa",,,,1865,,,1865,1933,,,1933,,,,1865-1933,1865,1865,,,Gerona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 09 |T 17:18:20,CDEA |D 1994 11 09 |T 17:18:20,,"Puxan Carreras, Teresa",P,"Puxan Carreras, Teresa Carreras, Teresa Puxan*","Carreras, Teresa Puxan*",,"Puxan Carreras, Teresa",,4156,Gerona. ,1865,1933,1933,1865,,,"<event start='1865' end='1933' isDuration='true' title='Puxan Carreras, Teresa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1865-1933; Gerona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4156'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4156'&gt;more...&lt;/a&gt;,1865-1933; Gerona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4156,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4156</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5353,"Querol Masats, Elisa de",,,,,,,,,,,,1906-1908,exh.,exh.1906-1908,exh.1906-1908,1906,1906,,,Barcelona,Spanish,800,,,,Y,,,,CDEA |D 1994 11 14 |T 12:30:04,CDEA |D 1994 11 14 |T 12:30:04,,"Querol Masats, Elisa de",Q,"Querol Masats, Elisa de Masats, Elisa de Querol*","Masats, Elisa de Querol*",,"Querol Masats, Elisa de",,4159,Barcelona. ,1906,1908,1908,1906,,,"<event start='1906' end='1908' isDuration='true' title='Querol Masats, Elisa de' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1906-1908; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4159'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4159'&gt;more...&lt;/a&gt;,exh.1906-1908; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4159,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4159</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
3530,"Quesada, María de la Concepción",,,,,,,,,,,,1858,exh.,exh.1858,exh.1858,1858,1858,,,Seville,Spanish,800,,,,Y,,,,CDEA |D 1994 11 14 |T 12:32:23,CDEA |D 1994 11 14 |T 12:32:23,,"Quesada, María de la Concepción",Q,"Quesada, María de la Concepción ",,,"Quesada, María de la Concepción",,4162,Seville. ,1858,1858,1858,1858,,,"<event start='1858' end='1858' isDuration='true' title='Quesada, María de la Concepción' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1858; Seville  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4162'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4162'&gt;more...&lt;/a&gt;,exh.1858; Seville,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4162,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4162</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5354,"Rafael Sánchez, María",,,,,,,,,,,,1901-1906,exh.,exh.1901-1906,exh.1901-1906,1901,1901,,,Granada,Spanish,800,,,,Y,,,,CDEA |D 1994 11 14 |T 12:36:16,CDEA |D 1994 11 14 |T 12:36:16,,"Rafael Sánchez, María",R,"Rafael Sánchez, María Rafael, María","Rafael, María",,"Rafael Sánchez, María",,4170,Granada. ,1901,1906,1906,1901,,,"<event start='1901' end='1906' isDuration='true' title='Rafael Sánchez, María' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1901-1906; Granada  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4170'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4170'&gt;more...&lt;/a&gt;,exh.1901-1906; Granada,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4170,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4170</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5355,"Ramírez de Arellano, Adelaida (or Adela)",,,,,,,,,,,,1862,exh.,exh.1862,exh.1862,1862,1862,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 14 |T 12:40:01,CDEA |D 1994 11 14 |T 12:40:01,,"Ramírez de Arellano, Adelaida (or Adela)",R,"Ramírez de Arellano, Adelaida (or Adela) Arellano, Adelaida Ramírez de*","Arellano, Adelaida Ramírez de*",,"Ramírez de Arellano, Adelaida (or Adela)",,4178,Madrid. ,1862,1862,1862,1862,,,"<event start='1862' end='1862' isDuration='true' title='Ramírez de Arellano, Adelaida (or Adela)' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1862; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4178'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4178'&gt;more...&lt;/a&gt;,exh.1862; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4178,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4178</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5356,"Ramírez de Villaurrutia, Guadalupe",,,,,,,,,,,,1844,exh.,exh.1844,exh.1844,1844,1844,,,Madrid,Spanish,800,,,,Y,,,,CDEA |D 1994 11 14 |T 12:41:57,CDEA |D 1994 11 14 |T 12:41:57,,"Ramírez de Villaurrutia, Guadalupe",R,"Ramírez de Villaurrutia, Guadalupe Villaurrutia, Guadalupe Ramírez de*","Villaurrutia, Guadalupe Ramírez de*",,"Ramírez de Villaurrutia, Guadalupe",,4183,Madrid. ,1844,1844,1844,1844,,,"<event start='1844' end='1844' isDuration='true' title='Ramírez de Villaurrutia, Guadalupe' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1844; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4183'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=4183'&gt;more...&lt;/a&gt;,exh.1844; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4183,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=4183</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
